Narrative,Regrets over past decision/s,Concerned about the meaning of life,Being lonely,Inability to express oneself,Fear of rejection,Trouble making decisions,Physical appearance,Not seeing people,Troubling thoughts about ones future,Not enough personal energy,Concerns about getting ahead,Fear of confrontation,Wasting time
"Today started like any other day, but it didn't take long for regrets to creep in. I couldn't help but dwell on past decisions that had led me astray. The weight of those choices hung heavily on my mind, causing a cloud of negativity to loom over me. It was a constant reminder of the paths I should have taken differently. As I navigated through the day, I vowed to learn from those regrets and make better decisions going forward, reminding myself that dwelling on the past would only hinder my progress.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was just one of those days where regrets over past decisions haunted me. I couldn't help but dwell on the choices I made in the past and wonder if I could have done things differently. The weight of these regrets made it difficult to focus on my studies and enjoy the present moment. However, I reminded myself that dwelling on the past won't change anything. Instead, I decided to learn from my mistakes and use them as lessons for the future.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, amidst the chaos, I found myself plagued by regrets over past decisions. As I sat in class, my mind wandered to the missed opportunities and wrong turns I had taken. The weight of these regrets hung heavily over me, clouding my thoughts and making it difficult to focus. I vowed to learn from my mistakes and make better choices in the future, determined to turn these regrets into valuable life lessons.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. As an undergraduate student at DLSU, I couldn't help but feel regrets over past decisions. I questioned my choice of major, wondering if I should have pursued a different path. The constant self-doubt weighed heavily on my mind throughout the day, making it difficult to concentrate on my studies. However, I reminded myself that it's never too late to make a change and decided to seek guidance from my professors to explore other options.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was just one of those days where regrets from past decisions haunted me. I couldn't help but think about that time I chose the wrong major, realizing now that it isn't the right fit for me. The constant questioning and self-doubt filled my mind, making it difficult to focus on my current studies. It's frustrating to know that I can't turn back time, but I'm determined to learn from this experience and make better decisions moving forward.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a heavy weight on my shoulders as regrets from past decisions crept into my mind. I couldn't help but dwell on the opportunities I had missed and the chances I wish I had taken. It was difficult to shake off the feeling of disappointment, but I reminded myself that dwelling on the past wouldn't change anything. Instead, I focused on learning from those mistakes and making better choices moving forward. After all, it's never too late to turn regrets into lessons.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, but as I walked through the university gates, I couldn't help but feel a pang of regret over a past decision. The memory of choosing a major that didn't align with my true passion haunted me. Sitting in class, I couldn't shake the feeling of dissatisfaction, wishing I had followed my heart instead. It's a constant reminder of the importance of making choices that truly resonate with who I am.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was one of those days where regrets over past decisions weighed heavily on my mind. As I walked through the corridors of DLSU, memories of missed opportunities and wrong choices flooded my thoughts. I couldn't help but wonder how different things would be if I had taken a different path. However, instead of dwelling on what could have been, I reminded myself that every decision has led me to where I am now. I vowed to learn from my mistakes and make the most of the present, determined to create a brighter future for myself.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a cloud of regrets over past decisions hovering above my head. I couldn't help but dwell on the choices I made during my freshman year at DLSU. The fear of missing out on opportunities and not making the most of my college experience consumed me. However, as the day progressed, I reminded myself to focus on the present and learn from my mistakes. Life is too short to live with regrets, and I am determined to make the most of my remaining time at DLSU.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, but as I sat in class, my mind wandered back to a decision I made last semester. I couldn't help but feel regret and doubt about my choice of major. Thoughts of what could have been filled my head, distracting me from the lecture. It was a constant battle to stay focused and not let my regrets consume me. However, I reminded myself that dwelling on the past wouldn't change anything. Instead, I vowed to make the most of my current situation and find ways to explore my interests within my chosen field.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started like any other day, with regrets over past decisions lingering in my mind. I couldn't help but think about the course I chose and whether it was the right fit for me. Doubts and what-ifs haunted me, making it hard to concentrate on my studies. But amidst the turmoil, I reminded myself that dwelling on the past won't change anything. Instead, I vowed to focus on the present and make the most out of my college experience, regardless of the choices I had made.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, but as I sat in my first class, regrets from past decisions began to haunt me. I couldn't help but dwell on the opportunities I missed and the chances I didn't take. The weight on my shoulders grew heavier with each passing hour, making it difficult to focus on my studies. It's a constant reminder that life is filled with choices, and sometimes, the wrong ones can leave a lasting impact. But amidst the regrets, I'm determined to learn from my mistakes and make better decisions moving forward.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today, as I strolled through the vibrant corridors of DLSU, regrets over past decisions whispered in my ears. I couldn't shake off the feeling of remorse for not joining that club I had always wanted to be a part of. The missed opportunities and friendships haunt me. Nevertheless, I promised myself to make the most out of my remaining time here, embracing new experiences and never shying away from taking risks. After all, life is too short to dwell on regrets.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a heavy heart as regrets from past decisions consumed my thoughts. I couldn't help but replay the moments when I made choices that led me astray. The weight of those decisions lingered throughout the day, making it difficult to focus on my studies. However, I reminded myself that dwelling on the past won't change anything. Instead, I vowed to learn from my mistakes and make better decisions moving forward. It's a constant battle, but I'm determined to grow from my regrets and create a brighter future.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a tinge of regret as I woke up remembering the poor decision I made last night, staying up late binge-watching my favorite series. Now, I'm paying the price with heavy eyelids during my morning classes. I can't help but beat myself up for not prioritizing my sleep. Lesson learned the hard way, I promise myself to make better choices tonight.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was just one of those days where regrets over past decisions weighed heavily on my mind. I couldn't help but think about the opportunities I let slip away and the chances I didn't take. It felt like a constant nagging in the back of my head, reminding me of what could have been. But instead of dwelling on these regrets, I tried to focus on making better choices moving forward, learning from my mistakes, and embracing the present moment. It's never too late to turn things around, and today was a reminder of just that.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a heavy weight of regret over a past decision I made. I couldn't help but dwell on the missed opportunities and what-ifs. As I walked through the DLSU campus, I realized that dwelling on the past only hinders my present growth. So, I made a conscious effort to let go of those regrets and focus on making better decisions moving forward. It's liberating to know that every new day brings a chance for redemption and growth.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, but as I sat in my morning class, regrets from past decisions started to creep into my mind. I couldn't help but think about that major I switched out of last year, wondering if I made the right choice. Doubts clouded my thoughts, making it hard to focus on the lecture. I tried to push these regrets aside and remind myself that everything happens for a reason, but it's difficult not to dwell on what could have been.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a heavy heart as regrets over past decisions weighed me down. I couldn't help but think about the opportunities I missed and the chances I didn't take. It felt like a constant battle between what could have been and what is. However, amidst the regrets, I reminded myself to learn from those mistakes and use them as stepping stones towards a better future. It's never too late to make amends and create a new path for myself.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was a typical day for me at DLSU, filled with the usual daily hassles. However, one thing that weighed heavily on my mind was the regrets over past decisions. As I walked through the campus, memories flooded back of missed opportunities and choices I wish I had made differently. It's a constant reminder that life doesn't come with a rewind button. Despite these regrets, I know I must learn from them and make better decisions moving forward.",1,0,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my days are often filled with numerous tasks and responsibilities. Today, amidst the hustle and bustle, I found myself pondering about the meaning of life. It's a question that has been on my mind lately, and it occasionally resurfaces, causing me to pause and reflect. While my day was filled with the usual academic challenges, this existential concern lingered in the background, reminding me to search for purpose amidst the chaos.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergrad from DLSU, my day was filled with the usual hustle and bustle. Amidst attending lectures and completing assignments, a recurring thought kept nagging at me - the meaning of life. It seemed like an insurmountable question, leaving me confused and concerned. But as the day progressed, I found solace in discussing this existential dilemma with friends, realizing that seeking meaning is a journey unique to each individual. Though the answer may elude me for now, I embraced the uncertainty and vowed to make the most out of my college experience, appreciating the little joys that come my way.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student from DLSU, my day is often filled with various daily hassles. Today, amidst the flurry of assignments and exams, I found myself increasingly concerned about the meaning of life. Thoughts about my purpose and existence swirled in my mind, adding an extra layer of complexity to my already hectic day. It's a never-ending quest for answers, but I remind myself to find solace in the journey, embracing the uncertainties as opportunities for growth.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day begins with the usual hustle and bustle of classes and assignments. Amidst the academic chaos, I find myself occasionally pondering about the meaning of life. It's a constant concern that lingers in the back of my mind, whispering existential questions. However, I try to push these thoughts aside and focus on the present moment, knowing that the answer to this profound inquiry lies in the journey itself.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just another ordinary day as an undergraduate student at DLSU. As I walked through the bustling hallways, a lingering thought bothered me - the meaning of life. It's a concern that often creeps into my mind, making me question my purpose in this vast universe. Yet, amidst the lectures and assignments, I pushed these existential thoughts aside, focusing on my studies. Although the search for meaning may continue to trouble me, I find solace in knowing that my journey at DLSU is shaping me into a better person, constantly guiding me towards my true purpose.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today started like any other day, with the usual hustle and bustle of being an undergraduate student at DLSU. However, amidst the chaos, I couldn't help but feel a nagging concern about the meaning of life. As I walked from one class to another, I pondered the purpose of my existence. It seems like such a daunting question to answer, especially in the midst of academic pressure. But perhaps, in the midst of all these daily hassles, I will eventually find the answers I seek.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just like any other day at DLSU, filled with the usual hustle and bustle. As I walked through the campus, my mind couldn't help but wander, and I found myself pondering about the meaning of life. The existential questions plagued my thoughts, leaving me feeling both curious and concerned. Amidst the daily hassles of assignments, classes, and social interactions, this existential dilemma added an extra layer of complexity to my day. However, I knew that in the midst of it all, I had to find a balance between seeking answers and embracing the present moment.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just like any other day as an undergraduate student at DLSU. As I rushed to my morning classes, I couldn't help but be concerned about the meaning of life. Amidst the hustle and bustle, the weight of existential questions lingered in my mind. Yet, as the day progressed and I engaged in lively discussions with classmates and passionate professors, I found solace in the pursuit of knowledge. Although the meaning of life may remain elusive, the valuable experiences and connections made at university continue to shape my journey, reminding me that sometimes the process is more important than the answer.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just like any other day as an undergraduate student at DLSU, but a constant nagging thought kept bothering me throughout the day - the meaning of life. In between attending classes, submitting assignments, and studying for exams, I couldn't help but ponder over this existential question. It seemed like a never-ending puzzle, and the more I thought about it, the more uncertain I became. Amidst the daily hassles, this question continued to linger in the back of my mind, reminding me of the infinite possibilities that life holds.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is filled with typical daily hassles. Today, amidst tackling assignments and attending classes, I found myself pondering about the meaning of life. It's a recurring concern that often creeps into my mind, leaving me deep in thought. While it may seem like an existential burden, I believe it's an essential part of personal growth and self-discovery. So, I continue to navigate through my day, seeking answers and finding solace in the pursuit of knowledge and understanding.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is filled with various daily hassles. Today, amidst my classes and assignments, I found myself pondering about the meaning of life. It's a question that often lingers in my mind, causing moments of introspection and contemplation. While juggling academic responsibilities, I couldn't help but wonder about the purpose and significance of my existence. Although it may seem like a mere hassle, this concern drives me to seek a deeper understanding of myself and the world around me.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is always filled with various daily hassles. Today, I found myself deep in thought, concerned about the meaning of life. It's a question that often lingers in my mind, and at times, it can feel overwhelming. But amidst the chaos of assignments and deadlines, I remind myself to take a step back, breathe, and appreciate the journey. Life's meaning may not be crystal clear, but I believe that it unravels gradually through the experiences and connections we make along the way. So, I embrace the uncertainties, knowing that the search for meaning is just as important as the destination itself.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student from DLSU, my day begins with the usual hustle and bustle of classes and assignments. However, amidst the chaos, a constant nagging thought lingers in my mind - the meaning of life. It's a concern that often creeps in, making me question my purpose and the path I am on. While I navigate through the daily hassles, this existential pondering serves as a reminder to seek fulfillment and ensure my actions align with my values.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is constantly filled with a multitude of daily hassles. Today, amidst my hectic schedule, I found myself pondering about the meaning of life. This existential concern weighed heavily on my mind, leaving me with a sense of unease. It's not uncommon for me to question the purpose and significance of my existence, especially during the moments when stress and academic pressures consume me. However, despite this constant internal struggle, I remind myself to find solace in the pursuit of knowledge and personal growth, hoping that ultimately, these endeavors will lead me to a clearer understanding of life's meaning.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is often filled with a multitude of daily hassles. Today, amidst the hustle and bustle of classes and assignments, I found myself deeply concerned about the meaning of life. Thoughts of existentialism and purpose swirled in my mind, causing a slight distraction throughout the day. However, through the support of friends and the guidance of professors, I was able to find solace in the pursuit of knowledge and personal growth. Though the question of life's purpose still lingers, I am determined to embrace the journey and make the most out of my university experience.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day was filled with the usual hustle and bustle. Amidst attending lectures, submitting assignments, and socializing with friends, a constant concern lingered in my mind: the meaning of life. It weighed on my thoughts, leaving me pondering the purpose behind my actions. However, amidst the chaos, I found solace in engaging conversations with fellow students, discussing our aspirations and dreams. These moments reminded me that life's meaning lies in the pursuit of knowledge, personal growth, and the connections we forge along the way.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergrad at DLSU, my day is often packed with classes, assignments, and the usual hustle and bustle of university life. Today, amidst the chaos, I found myself pondering about the meaning of life. It's a common concern, I suppose, but one that often leaves me feeling overwhelmed. Despite the daily hassles, I realized that finding purpose lies not in the grand achievements, but in the little moments of connection, growth, and gratitude. And so, with this newfound perspective, I embraced the challenges of the day, knowing that each experience contributes to my journey of self-discovery.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is always filled with countless daily hassles. Today, amidst the chaos of assignments and deadlines, I found myself pondering about the meaning of life. It's a common concern that often haunts me, especially when the pressures of academia overshadow everything else. While grappling with this existential question, I realized that perhaps the pursuit of knowledge and personal growth is what gives life its meaning.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day started with the usual hustle and bustle. Amidst the chaos of assignments and deadlines, a nagging concern about the meaning of life lingered in my mind. The weight of this existential question seemed to grow heavier with every passing day. However, as I immersed myself in classes and engaged with fellow students, I realized that life's true meaning lies in the pursuit of knowledge, making lasting connections, and leaving a positive impact on those around us. This newfound perspective brought a sense of purpose to my day, reminding me that even amidst the daily hassles, there is a greater purpose awaiting to be discovered.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student from DLSU, my day is filled with various daily hassles. Today, one of the things that bothered me was being concerned about the meaning of life. As I sat in class, listening to the lectures, my mind wandered off into the depths of existential questions. Thoughts about my purpose in life and the choices I make haunted me. It's a constant struggle to find meaning in the midst of academic stress and societal expectations. But amidst all the chaos, I remind myself to stay curious and keep searching for my own path, hoping to find clarity in this journey called life.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergrad from DLSU, my day began with the usual hustle and bustle of commuting to campus. However, amidst the crowded train and noisy streets, my mind couldn't help but wander to deeper thoughts. I found myself pondering about the meaning of life, questioning my purpose and existence in this vast universe. These existential concerns lingered in the back of my mind throughout the day, adding a layer of introspection to my routine. Though it's just a daily hassle, it's a reminder to seek meaning and purpose amidst the chaos of everyday life.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student from DLSU, my day is filled with daily hassles, one of which is often being concerned about the meaning of life. From the moment I wake up, existential questions start lingering in my mind, permeating my thoughts throughout the day. Amidst attending classes, completing assignments, and socializing with friends, I find myself pondering the purpose of my existence. It's a constant struggle to strike a balance between academic pursuits and seeking meaning in life. Nonetheless, I believe this contemplation is an essential part of my personal growth, as it pushes me to explore my passions and find fulfillment in the present moment.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is filled with endless commitments and to-dos. However, amidst the hustle, I often find myself pondering about the meaning of life. The lectures, exams, and deadlines seem to consume my thoughts, leaving me questioning the purpose of it all. Yet, in these moments of contemplation, I remind myself that education is a stepping stone towards understanding the complexities of the world. So, I continue my journey, seeking knowledge and hoping to find the answers that will give my life meaning.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day begins with the usual hustle and bustle of getting ready for classes. However, amidst the chaos, a constant concern lingers in my mind - the meaning of life. It's a daily hassle that tugs at my thoughts, making me question my purpose and existence. While juggling lectures, assignments, and social interactions, I find solace in fleeting moments of contemplation, hoping to uncover the elusive answer and find some direction amidst the chaos of everyday life.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day began like any other. However, amidst the hustle and bustle of academic life, I found myself pondering the meaning of life. It weighed heavily on my mind, leaving me feeling concerned and contemplative. Throughout the day, I couldn't help but question the purpose behind my studies and the path I had chosen. These existential thoughts added an extra layer of complexity to an otherwise typical day, reminding me that life's big questions often find their way into the most mundane moments.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just like any other day, filled with the typical undergraduate student hassles. I woke up feeling concerned about the meaning of life, questioning my purpose and existence. As I hurriedly got ready for class, I couldn't help but feel overwhelmed by the weight of these existential thoughts. Throughout the day, I found myself lost in a haze of lectures, assignments, and deadlines, struggling to find meaning in the midst of it all. It's moments like these that make me realize how important it is to take a step back and reflect on the bigger picture, reminding myself that life's true meaning lies in the pursuit of knowledge and personal growth.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just like any other day at DLSU. Waking up early, rushing to get ready, and heading off to class. But amidst the hustle and bustle, there was a lingering thought that troubled me throughout the day. I found myself pondering about the meaning of life, questioning my purpose and existence. It felt like a constant haze hovering over my thoughts, making it difficult to concentrate on my lectures. Amidst the daily hassles, this existential concern seemed to weigh heavily on my mind, leaving me searching for answers amidst the chaos of university life.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is often filled with various daily hassles. Today, amidst the hustle and bustle of classes and assignments, I find myself preoccupied with a deeper concern - the meaning of life. Between lectures and discussions, this existential question lingers in my mind, compelling me to ponder the purpose of my existence. While the pursuit of knowledge is paramount, it is equally important to seek answers to the profound questions that shape our lives.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was just like any other day, filled with the usual hassles of being an undergraduate student at DLSU. Between attending classes, studying for exams, and completing assignments, I couldn't help but find myself lost in thoughts about the meaning of life. Questions like ""What am I here for?"" and ""What is my purpose?"" kept swirling in my mind, leaving me feeling concerned and contemplative. Despite the daily chaos, I couldn't help but ponder on these profound queries, hoping to find some clarity amidst the busyness of my day.",0,1,0,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day is often filled with various daily hassles. Today, amidst the hustle and bustle of assignments and exams, I found myself pondering about the meaning of life. It was a constant concern that lingered in my thoughts, making me question my purpose and the path I was treading. Despite the weight of this existential dilemma, I pushed through the day, seeking solace in the warmth of friendships and the pursuit of knowledge. While the answer to this profound question may not be found today, I am determined to continue my journey in search of enlightenment.",0,1,0,0,0,0,0,0,0,0,0,0,0
"Today was a tough day at DLSU. Being lonely is not easy, especially when surrounded by bustling crowds. As I walked through the campus, I couldn't help but feel disconnected. The lack of familiar faces made me yearn for companionship. Despite attending classes and participating in activities, a sense of isolation lingered. It's a reminder that even in a sea of people, loneliness can still find its way in. Hopefully, tomorrow will bring new connections and banish this feeling of solitude.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was just one of those days where I couldn't shake off the feeling of being lonely. Walking through the bustling halls of DLSU, surrounded by countless faces, I couldn't help but feel like an outsider. It seemed as if everyone had their own little groups, their own connections, while I was left on my own. It was a constant reminder that sometimes, even in a crowded place, loneliness can be the loudest voice.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was a tough day. Being lonely weighed heavily on me. As I walked through the bustling campus, I couldn't help but feel a sense of isolation. The laughter and chatter of my peers echoed in my ears, reminding me of my own solitude. It's challenging to navigate university life without a support system. However, I reminded myself that tomorrow is a new day, and I will strive to forge connections and find my place in this vibrant community.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was one of those lonely days. As an undergraduate student at DLSU, the bustling campus usually offers a sense of belonging. But today, it felt different. The usually lively corridors seemed empty, and conversations echoed in my mind. Even the cheerful smiles around me couldn't fill the void. It's days like these when being away from family and friends hits the hardest. But I'll keep pushing through, knowing that tomorrow is a new day, full of possibilities to connect and find solace in the company of others.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was one of those days when the feeling of loneliness seemed to loom over me. The bustling campus, filled with vibrant conversations and laughter, made me feel like a tiny speck in the crowd. As I walked from one class to another, I couldn't help but long for a familiar face or a friendly conversation. It's times like these when being alone becomes a constant reminder of the connections I crave but struggle to find.",0,0,1,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student at DLSU, my day was filled with the usual hustle and bustle. However, amidst the crowded hallways and bustling classrooms, I couldn't help but feel a tinge of loneliness. Surrounded by unfamiliar faces and lost in the sea of anonymity, I longed for a connection, a sense of belonging. Yet, I reminded myself that this feeling was temporary. I would soon find my tribe, my place in this vast university, and the loneliness would fade away, replaced by genuine friendships and memorable experiences.",0,0,1,0,0,0,0,0,0,0,0,0,0
"As an undergrad from DLSU, my day started off with the all-too-familiar feeling of being lonely. The bustling hallways and crowded classrooms seemed to amplify my solitude, making me yearn for a friendly face or a comforting conversation. The isolation weighed heavily on my heart, casting a shadow over my day. Yet, amidst the loneliness, I found solace in small moments of connection, a smile from a classmate or an unexpected compliment. These fleeting gestures reminded me that even in the midst of my daily hassles, I wasn't alone.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was one of those days where I couldn't escape the feeling of being lonely. As I walked through the bustling hallways of DLSU, surrounded by groups of friends laughing and chatting, I couldn't help but feel a pang of envy. It seemed like everyone had someone to lean on, someone to share their joys and sorrows with. But here I was, navigating through the sea of strangers, longing for a connection that seemed elusive. I tried to push away the loneliness, reminding myself that this was just a temporary phase, and that someday, I too would find my tribe.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was one of those days where I couldn't shake off the feeling of being lonely. As I walked through the bustling hallways of DLSU, surrounded by countless faces, I couldn't help but feel disconnected. It seems like everyone is caught up in their own world, leaving me to navigate through this sea of strangers. It's times like these when I long for a familiar face, a friendly smile, or even just a simple conversation. But for now, I'll carry on, hoping that tomorrow brings a little less loneliness.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was a tough day. Being lonely seemed to overshadow everything else. I walked through the bustling hallways of DLSU, surrounded by conversations and laughter, yet feeling completely isolated. The emptiness echoed in my heart as I attended classes, ate meals alone, and sat in the library. The absence of companionship weighed heavily on my spirit, making even the simplest tasks feel daunting. But I reminded myself that this feeling was temporary, and that tomorrow is a new day filled with opportunities to connect with others.",0,0,1,0,0,0,0,0,0,0,0,0,0
"As an undergraduate student from DLSU, my day started with the familiar feeling of being lonely. Waking up in an empty dorm room, I longed for the company of my friends and family. Throughout the day, I navigated through crowded hallways and bustling classrooms, surrounded by acquaintances but feeling disconnected. Lunchtime came, and I sat alone in the cafeteria, observing others laughing and chatting. Despite the loneliness, I persevered, knowing that this feeling would pass and that I would eventually find my place in this sea of unfamiliar faces.",0,0,1,0,0,0,0,0,0,0,0,0,0
"As a student from DLSU, my day was filled with the usual hustle and bustle of university life. However, amidst the crowded hallways and lively classrooms, I couldn't help but feel a tinge of loneliness. Despite being surrounded by friends and classmates, there were moments when I felt disconnected and isolated. It's a common hassle for many, but I reminded myself that reaching out and engaging with others can alleviate this feeling. So, I made an effort to strike up conversations, join clubs, and attend social events, knowing that even small steps can help overcome this daily struggle.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Today was a bit rough. Waking up to an empty dorm room, I couldn't help but feel lonely. As I walked through the crowded hallways, I couldn't shake off the feeling of isolation. During classes, I tried to engage with my classmates, but it felt like I was on the outside looking in. Even at lunch, surrounded by friends, the loneliness persisted. It's these moments that remind me of the importance of connections and the need to reach out to others, for it's through human interaction that we truly feel alive.",0,0,1,0,0,0,0,0,0,0,0,0,0
