Narrative,Yardwork or outside home maintenance,Overloaded with family responsibilities,Home maintenance (inside)
"Today was a typical day as an undergraduate student at DLSU. After my morning classes, I returned home only to be reminded of the yardwork that awaited me. Reluctantly, I grabbed the gardening tools and set out to maintain our outdoor space. Sweating under the scorching sun, I trimmed the overgrown bushes and mowed the lawn. It was a hassle, but witnessing the transformation of our yard brought a sense of accomplishment. Despite being weary, I couldn't help but feel proud of my efforts in keeping our home beautiful amidst the chaos of student life.",1,0,0
"So, today was one of those days when I had to deal with the never-ending yardwork at home. As an undergrad student from DLSU, my days are usually filled with lectures, assignments, and exams, but today I had to put on my gloves and get my hands dirty. From pulling out stubborn weeds to mowing the unruly grass, it was definitely a hassle. But hey, it's all part of being a responsible homeowner, right? At least I can proudly say that I can handle both books and the backyard!",1,0,0
"Today was such a hectic day! After attending my morning classes at DLSU, I came home to find out that the yard desperately needed some attention. With sweat dripping down my forehead, I grabbed the gardening tools and started tackling the overgrown grass and unruly weeds. It was a tedious task, but the satisfaction of seeing a neat and tidy yard made it all worth it. Who knew yardwork could be such a hassle? Nonetheless, it feels good to contribute to the maintenance of our home.",1,0,0
"So, today was quite a hectic day for me! After my morning classes, I had to come home and deal with the dreaded yardwork. Armed with my trusty rake and gardening gloves, I spent hours cleaning up fallen leaves and trimming overgrown bushes. Sweating under the scorching sun, I couldn't help but wish for a magical solution to this never-ending chore. Nevertheless, seeing the neat and tidy yard at the end of the day gave me a sense of accomplishment. Yardwork might be a hassle, but it's a small price to pay for a beautiful home.",1,0,0
"So, like, today was a pretty hectic day for me. Besides attending online classes and dealing with assignments, I had to tackle the daily hassle of yardwork. Man, cutting the grass and pulling out those stubborn weeds is no joke! It's always a sweaty and tiring task, but it's gotta be done to keep our home looking tidy. Exhausted but satisfied, I finally finished up and headed back inside to continue my never-ending student life. Phew!",1,0,0
"So, today was another typical day of being an undergraduate student at DLSU. After attending my morning classes, I had to deal with one of my daily hassles - yardwork or outside home maintenance. It's funny how being a student doesn't exempt me from these responsibilities. Armed with a rake and a pair of gloves, I spent the afternoon tidying up our front yard, removing fallen leaves, and trimming the overgrown bushes. It was tiring, but it felt good to contribute to the upkeep of our home amidst the hectic life of a student.",1,0,0
"Today was another long day for me as an undergraduate student at DLSU. After juggling classes and assignments, I came home to face the never-ending task of yardwork. Armed with a rake and a determined spirit, I tackled the overgrown grass and fallen leaves. It was a sweaty and tiring process, but there was a sense of satisfaction in transforming the messy yard into a neat and tidy space. Despite the hassle, I couldn't help but appreciate the opportunity to connect with nature and take a break from the demands of academic life.",1,0,0
"Today was a typical day for me as an undergrad at DLSU, filled with classes, assignments, and daily hassles. After attending my morning lectures, I returned home to be greeted by the never-ending chore of yardwork. Armed with a rake and a determination to conquer the unruly grass, I spent the afternoon sweating under the scorching sun, trying to maintain the aesthetics of our humble abode. Though it was tiresome, the satisfaction of seeing the neatly trimmed lawn made it all worth it in the end.",1,0,0
"Today was such a hectic day! I woke up early to get ready for school, but before leaving, my mom asked me to help with some yardwork. Ugh, I really didn't feel like doing it, but I couldn't say no. So, I spent the next hour sweating under the scorching sun, mowing the lawn and pruning the bushes. Finally, I finished and rushed to catch my bus. Yardwork might be a hassle, but at least it made me appreciate the beauty of our home a little bit more.",1,0,0
"So, today was quite a hassle! After my morning classes, I had to tackle some yardwork at home. Armed with a rake and a determined spirit, I ventured outside to tidy up the mess of fallen leaves that seemed to have multiplied overnight. It took longer than expected, with the scorching sun adding to my exhaustion. Nonetheless, seeing the clean and pristine yard made it all worth it. I may be a student, but I can handle outside home maintenance like a pro!",1,0,0
"Today was a typical day for me as an undergraduate student at DLSU. After attending morning classes, I returned home to the never-ending list of daily hassles. As I stepped into my yard, I noticed the overgrown grass and weeds mocking me. Reluctantly, I grabbed the rusty old lawnmower and began the arduous task of taming the unruly lawn. Sweat dripped down my face as I battled with nature's relentless growth. Despite the monotony, I found solace in the simplicity of this mundane task, briefly escaping the demands of academic life.",1,0,0
"Today was such a hassle-filled day! After attending classes at DLSU, I came home to the never-ending yardwork. Armed with a rake and a determined spirit, I tackled the overgrown grass and fallen leaves. It was a sweaty and tiring task, but seeing the neat and tidy yard afterwards brought a sense of accomplishment. Despite the hassle, it felt good to contribute to the maintenance of our home.",1,0,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of my academic load, I found myself overloaded with family responsibilities. From ensuring my younger siblings got ready for school to helping my parents with household chores, it felt like a juggling act. Amidst the chaos, I managed to squeeze in some studying and complete my assignments. Balancing family and academic responsibilities is undoubtedly challenging, but I embrace it as part of my journey towards a better future.",0,1,0
"Today was one of those days when I felt overloaded with family responsibilities. As an undergraduate student at DLSU, juggling academics and family commitments can be quite challenging. I woke up early to help my younger siblings get ready for school, making sure they had their breakfast and uniforms ready. Throughout the day, I received numerous calls from my parents, seeking my advice and assistance on various matters. Despite feeling overwhelmed, I reminded myself that family always comes first, and I managed to navigate through the day with determination and a sense of fulfillment.",0,1,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of my academic load, I was overloaded with family responsibilities. From helping my younger siblings with their homework to assisting my parents with household chores, it felt like a never-ending juggling act. Despite the challenges, I managed to prioritize my studies while fulfilling my duties at home. It may be exhausting, but knowing that I am contributing to my family's well-being makes it all worthwhile.",0,1,0
"Today was another challenging day as an undergraduate student at DLSU. On top of my academic load, I found myself overloaded with family responsibilities. My younger siblings needed help with their schoolwork, my mom needed assistance with household chores, and my dad required my support in running errands. Balancing all these tasks proved to be quite overwhelming, leaving me mentally and physically exhausted. Nevertheless, I managed to persevere, reminding myself that my education and family are equally important. Despite the daily hassles, I strive to maintain a positive mindset and stay committed to both my studies and familial obligations.",0,1,0
"Today was a whirlwind of chaos as I juggled my overloaded plate of family responsibilities along with my academic commitments. From helping my younger siblings with their online classes to assisting my parents with household chores, it felt like a never-ending cycle of tasks. Amidst this chaos, I managed to squeeze in some time for my studies, but the constant interruptions made it challenging to focus. Although exhausting, I reminded myself that these family responsibilities are a privilege and a testament to the love and trust bestowed upon me.",0,1,0
"Today was quite a hectic day for me. Besides being overloaded with family responsibilities, I had to juggle between attending online classes and taking care of household chores. From preparing breakfast for my siblings to helping my parents with their errands, it felt like a never-ending cycle. It's tough being an undergraduate student, but I try to find a balance between my studies and family duties. Although it's exhausting, knowing that I'm contributing to my family's well-being makes it all worth it.",0,1,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of my already heavy workload, I found myself overloaded with family responsibilities. My parents needed help with household chores and taking care of my younger siblings. It was challenging trying to balance my academic commitments while fulfilling my duties at home. Nevertheless, I managed to juggle everything and remain determined to succeed. Although it's tough, I remind myself that these challenges will only make me stronger and more resilient in the long run.",0,1,0
"Today was another exhausting day juggling my responsibilities as an undergraduate student at DLSU and my family duties. With a heavy heart, I had to prioritize my family's needs over my studies, as my parents were overloaded with work. I found myself multitasking, trying to complete my assignments while assisting my younger siblings with their homework. Though overwhelming, I reminded myself that family always comes first, even if it means sacrificing my own academic progress.",0,1,0
"Today was a typical day at DLSU, but as an undergraduate student, I found myself overloaded with family responsibilities. I woke up early to help my younger siblings get ready for school while also preparing breakfast for everyone. Between classes, I received calls from my parents asking for assistance with household chores and errands. It was challenging to balance my academic commitments and my family's needs, but I persevered. Despite the added pressure, I managed to complete my assignments and attend my classes. Although exhausting, I find solace in knowing that I am contributing to my family's well-being while pursuing my education.",0,1,0
"Today was a typical day for me as an undergraduate student at DLSU. While juggling my academic commitments, I found myself overloaded with family responsibilities. I had to rush home after classes to take care of my younger siblings, help with household chores, and assist my grandmother with her daily tasks. Despite the challenges, I managed to find a balance, ensuring that both my family and academic life received the attention they deserved. It's not always easy, but I've learned to embrace these responsibilities as part of my journey towards personal growth and success.",0,1,0
"Today was another hectic day as an undergraduate student at DLSU. Not only did I have to juggle my coursework and extracurricular activities, but I was also overloaded with family responsibilities. From helping my younger siblings with their homework to assisting my parents with household chores, it felt like there was never enough time. As much as I love my family, it can be challenging to find a balance between my academic pursuits and taking care of their needs. Nonetheless, I remain determined to succeed and make them proud.",0,1,0
"Today was another chaotic day at DLSU. As an undergraduate student, my day started with an overwhelming sense of responsibility towards my family. With my parents struggling financially, I had to juggle between attending classes and working part-time to support them. It's exhausting and challenging, but I try my best to stay motivated and remind myself that education is the key to a better future for all of us.",0,1,0
"Today was another hectic day as an undergraduate student at DLSU. On top of my academic load, I found myself overloaded with family responsibilities. My parents needed my assistance in managing household chores and taking care of my younger siblings. It was a juggling act, trying to balance my college commitments and familial duties. Despite the challenges, I persevered, knowing that education is the key to a better future for my family.",0,1,0
"Today was another hectic day for me as an undergraduate student from DLSU. On top of my academic obligations, I was overloaded with family responsibilities. I woke up early to help my younger siblings get ready for school, prepared breakfast for everyone, and even managed to squeeze in some time to clean the house. Despite the challenges, I remain determined to balance my studies and family duties, as I know they both play significant roles in shaping my future.",0,1,0
"Today was a typical day at DLSU, juggling academics and extracurricular activities. However, on top of that, I was overloaded with family responsibilities. I had to rush home after class to help my younger siblings with their homework and prepare dinner for the family. It was exhausting, but I managed to find a balance between my obligations as a student and my duties as a sibling. Although challenging, moments like these remind me of the importance of family and the sacrifices we make for each other.",0,1,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of juggling my academic responsibilities, I found myself overloaded with family responsibilities. From running errands for my parents to helping my younger siblings with their schoolwork, it felt like there were not enough hours in the day. Despite the challenges, I managed to stay focused and determined. Although overwhelming at times, these family responsibilities serve as a reminder of the importance of balance in my life.",0,1,0
"Today was a typical day for me as an undergraduate student at DLSU, although I was feeling overwhelmed with family responsibilities. Balancing my studies and taking care of my younger siblings has been quite challenging. I had to wake up early to prepare breakfast, get them ready for school, and ensure they were safe before rushing to my classes. Despite the daily hassles, I always remind myself that these responsibilities make me stronger and more resilient, fueling my determination to succeed academically and provide a better future for my family.",0,1,0
"Today was another hectic day as an undergraduate student at DLSU. Not only was I overloaded with assignments and projects, but I also had to juggle numerous family responsibilities. From helping my younger siblings with their homework to running errands for my parents, it felt like there were not enough hours in the day. Despite the constant chaos, I managed to find solace in the support of my family and the determination to succeed in my studies. It may be overwhelming at times, but I am grateful for the opportunity to balance both my education and my family responsibilities.",0,1,0
"Today was another hectic day as an undergraduate student at DLSU. Along with my academic responsibilities, I found myself overloaded with family responsibilities. I had to help my younger siblings with their schoolwork, cook meals for the family, and run errands for my parents. It was challenging to balance everything, but I managed to complete my assignments and attend online classes. Despite the daily hassles, I remain grateful for the opportunity to support my family while pursuing my education.",0,1,0
"Today was another hectic day as an undergraduate student at DLSU. Apart from the usual academic load, I found myself overloaded with family responsibilities. My younger sister fell sick, and I had to rush her to the doctor while juggling my assignments and studying for exams. Balancing my family's needs with my academic commitments proved to be challenging, but as always, I managed to find a way to make it work. It's moments like these that remind me of the importance of resilience and determination in overcoming daily hassles.",0,1,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of my demanding academic schedule, I found myself overloaded with family responsibilities. My parents, who both work long hours, heavily rely on me to help with household chores and taking care of my younger siblings. Juggling between assignments, attending online classes, and ensuring my family's well-being has become a daily challenge. Despite the exhaustion, I remain determined to keep pushing forward, knowing that my education and family's welfare are equally important.",0,1,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of my academic load, I found myself overloaded with family responsibilities. My younger siblings needed help with their school projects, my parents required assistance with household chores, and my grandmother needed someone to accompany her to her doctor's appointment. Despite feeling overwhelmed, I managed to prioritize my family's needs while also ensuring I met my own academic obligations. It's challenging, but I'm determined to strike a balance between my studies and my family responsibilities.",0,1,0
"Today was a typical day for me, filled with countless responsibilities. As an undergraduate student at DLSU, I am constantly juggling my studies with my overloaded family responsibilities. From cooking meals and running errands to taking care of my younger siblings, it feels like my to-do list is never-ending. It can be overwhelming at times, but I try to stay positive and remind myself that this is just a temporary phase. Despite the daily hassles, I am determined to succeed in both my academics and family life.",0,1,0
"Today was another typical day for me as an undergraduate student at DLSU. However, it was not without its daily hassles. Being overloaded with family responsibilities, I found myself juggling between studying for my exams and taking care of my younger siblings. It was a constant struggle to find the right balance, but I managed to prioritize my responsibilities and make the best out of the situation. Despite the challenges, I remain determined to excel in my studies and fulfill my family obligations.",0,1,0
"Today was another hectic day for me as an undergraduate student at DLSU. On top of my academic load, I found myself overloaded with family responsibilities. Balancing assignments and household chores became a juggling act. I had to rush through my readings while simultaneously helping my younger siblings with their homework. It was exhausting, but I reminded myself that this was just a temporary phase. Despite the daily hassles, I remained determined to persevere and succeed in both my studies and family obligations.",0,1,0
"Today was another busy day juggling between classes and family responsibilities. As an undergraduate student from DLSU, I found myself constantly overwhelmed. From helping my younger siblings with their homework to assisting my parents with household chores, the load seemed never-ending. It's challenging to find time for myself, but I take pride in being there for my family. Despite the daily hassles, I remain determined to excel in my studies and make my loved ones proud.",0,1,0
"Today was another hectic day for me as an undergraduate student from DLSU. On top of my overwhelming academic workload, I found myself overloaded with family responsibilities. I had to rush home after class to take care of my younger siblings while my parents were busy with work. Juggling between being a responsible student and a dependable family member can be quite challenging, but I always strive to give my best in both roles. Despite the hassles, I find solace in knowing that my efforts contribute to the well-being of my loved ones.",0,1,0
"Today was another hectic day as an undergraduate student at DLSU. Besides my academic load, I was overloaded with family responsibilities. I had to rush home after class to help my siblings with their homework and prepare dinner. It was challenging to balance my studies and family obligations, but I managed to juggle them both. Despite the daily hassles, I remained determined to excel in my studies and fulfill my responsibilities towards my loved ones.",0,1,0
"Today was another challenging day as an undergraduate student at DLSU. With an overloaded schedule and the weight of family responsibilities, I struggled to find a balance. Juggling between studying for exams and meeting my family's needs proved to be overwhelming. Nonetheless, I pushed through, relying on determination and the support of my loved ones. Despite the constant hassle, I remained focused on my goals, knowing that the sacrifices I make today will lead to a better future for both my family and myself.",0,1,0
"Today was a tough day as I found myself overloaded with family responsibilities. Balancing my studies and taking care of my younger siblings proved to be quite challenging. I had to help them with their online classes, cook meals, and assist my parents with household chores. Despite feeling overwhelmed, I managed to stay positive and reminded myself that family always comes first. Although it was exhausting, knowing that I made a difference in their lives made it all worth it.",0,1,0
"So, today started like any other day. I woke up to the sound of my alarm and sluggishly got out of bed. As soon as I stepped into the kitchen, I noticed a leaking faucet. Great, just what I needed. I quickly grabbed a wrench and tried to fix it, but my limited knowledge in home maintenance didn't help much. Eventually, I gave up and decided to call a plumber. Home maintenance can be such a hassle, especially when you have no clue what you're doing!",0,0,1
"Today was a typical day for me as an undergraduate student at DLSU. After a long day of classes and studying, I returned home to my dorm room. As I entered, I noticed the mess that had accumulated throughout the week. With a sigh, I rolled up my sleeves and tackled the home maintenance tasks. I swept the floor, organized my desk, and wiped down the surfaces. It was a hassle, but seeing my living space tidy and clean brought a sense of satisfaction. It's a small price to pay for a comfortable and conducive environment for studying and relaxation.",0,0,1
"So today started off with the usual hustle and bustle of being an undergraduate student at DLSU. As I rushed to get ready for my classes, I couldn't help but notice the mess in my room. It was time for some home maintenance (inside). I quickly tidied up, made my bed, and organized my study materials. It may seem like a small hassle, but having a clean and organized space helps me focus on my studies and sets a positive tone for the rest of my day. With that task accomplished, I headed out, ready to conquer the challenges that awaited me at school.",0,0,1
"So, today was one of those days where I had to deal with home maintenance inside my apartment. As an undergraduate student from DLSU, my schedule is always packed with classes and assignments. But today, I had to put everything aside to fix a leaky faucet that had been bothering me for weeks. Armed with a wrench and a YouTube tutorial, I embarked on my mission to become a DIY plumber. After a few failed attempts and a lot of water splashing around, I finally managed to fix the darn thing. It may not have been the most glamorous way to spend my day, but hey, at least I saved some money by not calling a professional!",0,0,1
"So, today was quite a hassle. As an undergraduate student from DLSU, I had to deal with the usual daily struggles, including home maintenance inside. I woke up to a leaky faucet in the bathroom, which seemed to defy all my attempts to fix it. As if that wasn't enough, the power went out just as I was about to start studying for my midterm exams. With candles scattered around, I managed to make the best of the situation and soldier through my readings. It's safe to say that today, home maintenance became my unexpected and unwanted companion in my journey towards academic success.",0,0,1
"Today was a typical day for me as an undergraduate student at DLSU. After attending my morning classes, I returned home to face the dreaded task of home maintenance. The inside of my humble abode desperately needed some attention. I spent a good amount of time cleaning, dusting, and organizing my living space. Though it was tiresome, the satisfaction of seeing my home neat and tidy made it all worthwhile. Now, I can finally study and relax in a clean and comfortable environment.",0,0,1
"So, today started off with the usual hustle and bustle of being an undergraduate student at DLSU. As I rushed to get ready for class, I couldn't help but notice the mess in my room. Home maintenance inside definitely became a daily hassle. Clothes were strewn all over the floor, books were scattered on my desk, and my bed was in desperate need of being made. I quickly tidied up, trying to make my little sanctuary a bit more presentable. Although it was just a small inconvenience, it reminded me of the responsibilities that come with being an adult and balancing college life.",0,0,1
"So today was one of those days where I had to tackle home maintenance issues. As an undergraduate student from DLSU, I rarely have time to spare for these mundane tasks. But today, I couldn't escape the fact that my room needed a serious decluttering session. From organizing my study materials to dusting off every nook and cranny, I spent the entire afternoon making my room more livable. It may not be the most exciting way to spend my day, but at least now I have a clean and peaceful space to come back to after a long day of classes.",0,0,1
"So, it was just another day in my life as an undergraduate student at DLSU. After a tiring day of attending classes and studying, I finally returned home to my dorm. However, the moment I stepped inside, I was hit with the realization that my room was a complete mess. Clothes were strewn all over the floor, books were scattered on the desk, and there were dishes piled up in the sink. Sighing, I reluctantly started tidying up, realizing that home maintenance (inside) was yet another hassle that I had to deal with on a daily basis.",0,0,1
"Today was a typical day for me as an undergraduate student at DLSU. After attending my morning classes, I returned home to face the never-ending chore of home maintenance. Inside my small apartment, I had to sweep and mop the floors, dust the furniture, and clean the kitchen. It was a hassle, but I knew it was necessary to create a clean and comfortable living space. Despite the mundane nature of the task, I tackled it with determination, dreaming of the moment when I could finally relax and enjoy a well-deserved break.",0,0,1
"So, today was one of those days where I had to deal with home maintenance inside. As an undergraduate student in DLSU, it's already a struggle to balance my academics and personal life. But on top of that, I had to fix a leaky faucet in the bathroom. It took me hours to figure out what was wrong and then find the right tools to fix it. I was frustrated and tired, but finally, I managed to solve the problem. It may have been a hassle, but at least I learned a valuable lesson in home maintenance.",0,0,1
"So, here's the thing. Today started off like any other typical day for me as an undergraduate student at DLSU. I woke up, had a quick breakfast, and got ready for my classes. However, as I was about to head out the door, I noticed that my room was a complete mess. Clothes were scattered all over the floor, books were haphazardly stacked on my desk, and the pile of dirty dishes in the sink seemed to have multiplied overnight. With a sigh, I realized I had no choice but to tackle the daunting task of home maintenance inside before I could even think about attending my classes. Thus, my day began with a frustrating hassle of cleaning and organizing my living space, making me wish for a magical cleaning fairy to take care of it all.",0,0,1
"Today was quite a challenging day for me as an undergraduate student from DLSU. Amidst my hectic schedule, I had to deal with the daily hassle of home maintenance inside. My room was in dire need of tidying up, with clothes scattered all over the floor and books piled up on my desk. I spent a considerable amount of time organizing and cleaning, trying to create a conducive study environment. Although it was tiring, the satisfaction of a clean and organized space made it all worthwhile.",0,0,1
"So, today was one of those days where I had to deal with home maintenance inside the house. As an undergraduate student at DLSU, I already have a lot on my plate between classes and assignments. But when I woke up this morning, I noticed a leaking faucet in the bathroom. I had to quickly run to the hardware store, grab some tools, and try my best to fix it before heading off to class. It was definitely a hassle, but at least I learned a thing or two about plumbing along the way.",0,0,1
"So, today was just one of those days filled with endless home maintenance inside our humble abode. As soon as I woke up, I found myself scrubbing the bathroom tiles, battling the stubborn grime that seemed determined to stay. Then, I had to tackle a pile of laundry that seemed to have multiplied overnight. After that, it was time to do some general tidying up, dusting shelves and rearranging furniture. Oh, the joys of being an undergraduate student with an endless list of responsibilities! But hey, at least our home is looking spick and span now.",0,0,1
"Today was quite a busy day for me as an undergraduate student at DLSU. After attending my classes, I returned home to face the never-ending battle of home maintenance. Inside my humble abode, I found myself confronted with a pile of dirty dishes, a mountain of laundry demanding attention, and a cluttered living space. With a sigh, I rolled up my sleeves and embarked on a cleaning spree, tackling one chore at a time. Despite the hassle, it felt satisfying to restore order and cleanliness to my living space, allowing me to unwind and focus on my studies.",0,0,1
"Today was a typical day for me as an undergraduate student at DLSU. As I woke up, my mind started racing with the day's responsibilities. However, my plans were abruptly halted when I noticed the mess in my room. Home maintenance, or should I say, the lack thereof, was staring me in the face. I sighed and reluctantly began tidying up, realizing that even amidst the chaos of student life, a clean and organized living space is essential for a productive day ahead.",0,0,1
"So today started off pretty hectic. I woke up late for my morning class and rushed through breakfast. As if that wasn't enough, I came back home to find a leaky faucet in the bathroom. Ugh! I had to scramble to find a wrench and fix it before it flooded the whole place. Home maintenance is definitely not my forte, but I managed to get it under control. Just another day as an undergrad student, juggling classes and unexpected household issues.",0,0,1
"My day as an undergrad student at DLSU began with the usual hustle and bustle. Between juggling classes and assignments, I found myself dealing with the daily hassle of home maintenance inside. As I rushed to get ready, I noticed a leak in the bathroom sink that needed immediate attention. Frustrated, I grabbed a wrench and managed to fix it just in time. It may have been a small hassle, but it served as a reminder that even amidst the chaos of college life, I needed to take care of my personal space.",0,0,1
