Narrative,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Not enough money for wants (entertainment and recreation),Concerns about owing money,Concerns about money for emergencies,Financial security
"Today was another challenging day as an undergraduate student at DLSU. The constant struggle of not having enough money for basic necessities like food, clothing, transportation, and housing seemed to weigh heavily on my mind. I found myself constantly juggling between prioritizing my education and trying to make ends meet. It's disheartening to see my peers enjoying a carefree college life while I worry about healthcare expenses and the rising cost of living. Nonetheless, I remain determined to persevere and find a way to overcome these daily financial hassles.",1,0,0,0,0
"Today was a typical day as an undergraduate student at DLSU, filled with the usual daily hassles. Unfortunately, one of the major challenges I faced was not having enough money for basic necessities. It was disheartening to constantly worry about affording food, clothing, transportation, housing, and healthcare. This financial strain added immense stress to my already demanding academic life. Nevertheless, I tried to remain optimistic, seeking support from friends and exploring possible solutions such as part-time jobs. Despite these hardships, I remained determined to overcome these obstacles and continue pursuing my dreams.",1,0,0,0,0
"So, it was just another typical day in the life of a struggling undergraduate student at DLSU. I woke up with the nagging worry of not having enough money to cover my basic necessities. As I rushed to class, I skipped breakfast to save some cash. Throughout the day, I couldn't help but constantly worry about how I would afford my next meal, transportation, and even healthcare expenses. It's a constant battle to make ends meet, but I try to stay positive and hopeful that things will get better soon.",1,0,0,0,0
"Today was a typical day as a struggling undergraduate student at DLSU. Waking up, I realized that my bank account was running on empty, leaving me with not enough money for basic necessities. I had to skip breakfast and wear the same worn-out clothes. Public transportation was my only option, making me late for class once again. The constant worry of not being able to afford proper housing or healthcare added to the weight on my shoulders. Despite these daily hassles, I pushed through, hoping for a brighter tomorrow.",1,0,0,0,0
"So, today was one of those days when I found myself struggling with the daily hassles of being an undergraduate student at DLSU. As I woke up, I realized that I didn't have enough money to cover my basic necessities. The thought of not being able to afford food, clothing, transportation, housing, or even healthcare weighed heavily on my mind. It's frustrating to see my peers enjoying their college life while I constantly worry about making ends meet. But despite these challenges, I remain determined to work hard and find a way to overcome these financial setbacks.",1,0,0,0,0
"So, it's another typical day for me as an undergraduate student at DLSU. As I wake up, the first hassle that greets me is the constant worry about not having enough money to cover my basic necessities. From struggling to afford a decent meal to finding affordable clothing and transportation options, financial constraints seem to always loom over my head. It's a daily battle to make ends meet, but I try to stay positive and motivated, knowing that my education will lead me to a brighter future.",1,0,0,0,0
"Today was a typical day as an undergrad at DLSU, but the constant struggle of not having enough money for basic necessities weighed heavily on my mind. I skipped breakfast to save a few pesos for transportation. As I walked to class, I couldn't help but notice how worn out my shoes looked. The reality of not being able to afford new ones haunted me. I couldn't concentrate in class, as the fear of not having enough money for rent and healthcare kept creeping into my thoughts. It was a constant battle to focus on my studies while worrying about my basic needs.",1,0,0,0,0
"So, like, today was one of those days where I felt the struggle of being a broke college student. As I woke up, I realized I had not enough moolah to spend on entertainment or recreation. No spontaneous movie nights or impromptu mall trips for me. It's a bummer, but hey, at least I've got my textbooks to keep me company. Gotta make the most out of what I've got, right? It's all about embracing the simple joys and finding creative ways to have fun without breaking the bank.",0,1,0,0,0
"So, today was a typical day for me as a college student at DLSU. I woke up feeling excited about the day ahead, but as soon as I checked my wallet, reality hit me hard. Not having enough money for entertainment and recreation has become a common hassle in my life. I had to let go of the idea of going out with friends or catching a movie. Instead, I spent the day studying at the library and finding free activities to keep myself entertained. It's not always easy, but I've learned to make the most of what I have.",0,1,0,0,0
"Today was a typical day filled with the usual struggles of being a broke college student. As I walked through the university campus, I couldn't help but feel envious of my friends who were able to indulge in entertainment and recreation. With not enough money in my pocket, I had to resist the urge to join them in their fun activities. Instead, I focused on finding free alternatives to keep myself entertained, reminding myself that my financial limitations were only temporary.",0,1,0,0,0
"Today was a typical day as an undergraduate student at DLSU. As usual, I woke up early, attended my classes, and worked on assignments. However, a daily hassle that constantly lingered over me was not having enough money for entertainment and recreation. It was frustrating to see my friends enjoying outings and fun activities while I had to limit my spending. Nonetheless, I reminded myself that education was my priority, and I needed to make sacrifices. So, I focused on my studies, hoping that better days would come when I could indulge in the things I enjoyed without financial worries.",0,1,0,0,0
"Today was another typical day as an undergraduate student at DLSU. I woke up feeling excited about the day ahead, but as soon as I checked my wallet, I realized I didn't have enough money for any entertainment or recreation. It's frustrating when all my friends plan fun activities and I have to miss out due to financial constraints. However, I reminded myself that my education is the priority, and I can always find free or low-cost alternatives to have a good time. Despite the hassle, I remained determined to make the most of my day.",0,1,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, the constant nagging of not having enough money for entertainment and recreation was a recurring hassle. As my friends excitedly planned a movie night, I found myself counting my meager coins, unable to join in. It's disheartening to see others enjoy leisure activities while I struggle to make ends meet. But, despite the financial setbacks, I remain determined to find joy in other simple pleasures, reminding myself that sometimes, the best things in life don't come with a price tag.",0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. Waking up early and rushing to catch the first train, I couldn't help but feel a pang of disappointment as I realized that I didn't have enough money for entertainment and recreation. As I passed by the campus bookstore and saw the latest bestsellers on display, I couldn't help but long for a moment of escape from my academic responsibilities. Oh, how I wished I had some spare cash to enjoy a movie or indulge in some recreational activities. But alas, it was just another day of focusing on my studies and counting down the days until my next allowance.",0,1,0,0,0
"So, today was just like any other day at DLSU. Waking up early for my morning classes, rushing to make it on time, and trying to stay awake during lectures. But the daily hassle that always gets to me is not having enough money for my wants, like entertainment and recreation. It's tough seeing my friends going out to enjoy themselves while I have to stay back and count my coins. But hey, it's all part of the college experience, right? Gotta learn to appreciate the little things and find joy in the simple pleasures.",0,1,0,0,0
"So, it was another typical day in the life of a broke college student at DLSU. As I walked through the campus, I couldn't help but notice my friends excitedly discussing their weekend plans for entertainment and recreation. Meanwhile, I found myself counting every penny in my pocket, realizing I didn't have enough money to join them. It's frustrating to constantly miss out on the fun and excitement, but I guess that's just the reality of being a student on a tight budget.",0,1,0,0,0
"Today was quite a struggle as I battled the perpetual issue of not having enough money for my wants, particularly entertainment and recreation. As an undergraduate student from DLSU, my budget is tight, and splurging on fun activities is a luxury I can rarely afford. While my friends enjoyed the latest movies or indulged in delicious meals, I had to opt for more affordable alternatives. However, I reminded myself that this financial constraint is temporary, and the satisfaction of working hard towards my goals will eventually outweigh these daily hassles.",0,1,0,0,0
"Today was a typical day in my life as an undergraduate student at DLSU, filled with its fair share of daily hassles. As I woke up and prepared for the day ahead, a lingering worry weighed on my mind - not having enough money for my wants, particularly entertainment and recreation. While my academic pursuits kept me occupied, the desire to unwind and enjoy some leisure activities constantly reminded me of my financial limitations. Nonetheless, I remained determined to find affordable ways to have fun, reminding myself that success lies not only in material extravagance but also in embracing life's simple pleasures.",0,1,0,0,0
"Today was a typical day at DLSU, filled with lectures and assignments. As an undergraduate student, I often face the daily hassle of not having enough money for my wants, particularly entertainment and recreation. It's frustrating to see my friends enjoying outings and movies while I have to restrict myself due to financial constraints. However, I remind myself that education is my priority, and these sacrifices will pay off in the long run.",0,1,0,0,0
"Today was a typical day in my life as an undergrad at DLSU, filled with the usual daily hassles. One of the major challenges I faced was not having enough money for my wants, particularly entertainment and recreation. It's frustrating to see my friends enjoying outings and movies while I have to sacrifice those experiences due to financial constraints. However, I try to find joy in little things, like spending time with friends on campus or exploring free activities around the city. Despite the lack of funds, I remind myself that this phase is temporary and that someday I'll be able to enjoy all the entertainment and recreation I desire.",0,1,0,0,0
"So, today was another typical day in my life as an undergraduate student at DLSU. As usual, I woke up with the realization that I didn't have enough money to fulfill my wants, especially when it comes to entertainment and recreation. It's frustrating because I see my friends enjoying their leisure activities, while I have to constantly budget and prioritize my expenses. But hey, it's all part of the college experience, right? I'll just have to find creative ways to have fun without breaking the bank.",0,1,0,0,0
"Today was a typical day as an undergraduate student at DLSU, but it came with its fair share of daily hassles. As I woke up, I realized I didn't have enough money for entertainment and recreation, which left me feeling a bit down. However, I reminded myself that academics should be my priority and that I could find joy in simple pleasures. So, I spent the day studying in the library and catching up with friends over cheap coffee. Although my wants were not fulfilled, I still managed to make the most of my day in a less extravagant way.",0,1,0,0,0
"So today was a typical day for me as an undergraduate student at DLSU. I woke up feeling excited about the day ahead, but also a bit stressed. You see, I've been dealing with the daily hassle of not having enough money for my wants, particularly entertainment and recreation. It can be frustrating at times, especially when my friends plan outings or events that I can't afford to join. But despite this setback, I try to stay positive and focus on the things I can enjoy within my limited budget, like spending time with friends on campus or exploring free activities around the city. It's not always easy, but I've learned to find joy in the simple pleasures and make the most of what I have.",0,1,0,0,0
"Today was a typical day in the life of a struggling undergraduate student at DLSU. Waking up early in the morning, I couldn't help but feel a pang of disappointment knowing that I didn't have enough money for entertainment and recreation. While my friends planned to catch a movie or dine out, I had to decline due to financial constraints. Instead, I spent the day studying at the library, hoping that one day I will have the means to enjoy the simple pleasures in life without worrying about money.",0,1,0,0,0
"Today was another typical day as an undergraduate student at DLSU. I woke up feeling excited for the day ahead, but as I checked my wallet, I realized that I didn't have enough money for my entertainment and recreational needs. It was quite disappointing, as I had been looking forward to catching a movie with my friends after a long week of studying. However, I reminded myself that there are other ways to have fun without spending too much. So instead, we decided to have a movie night at home, making the best out of our limited resources. It turned out to be a memorable and enjoyable evening, proving that sometimes, the simplest pleasures can bring the most happiness.",0,1,0,0,0
"Today was quite a struggle as I woke up with a realization that my pockets were emptier than usual. The daily hassle of not having enough money for entertainment and recreation struck me hard. I had to pass on joining my friends for a movie night and opted for a quiet evening at home, scrolling through social media instead. Though it was disheartening, it reminded me of the importance of budgeting and prioritizing my expenses as an undergraduate student.",0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. I woke up feeling excited about the day ahead, but as soon as I checked my wallet, reality hit me hard. Not having enough money for entertainment and recreation has become a daily hassle. It's frustrating to see my friends enjoying themselves while I have to constantly budget and prioritize my expenses. Despite this, I try to find joy in simple pleasures and focus on my studies, hoping that one day I can indulge in the leisure activities I dream of.",0,1,0,0,0
"So today started off like any other day at DLSU, with classes and assignments piling up. As an undergraduate student, I constantly find myself struggling with not having enough money for my wants, especially when it comes to entertainment and recreation. It can be quite frustrating seeing my friends go out and have fun while I have to stay in due to financial constraints. But despite these daily hassles, I try to remain positive and find creative ways to enjoy myself without breaking the bank. Whether it's organizing movie nights with friends or exploring free events around the city, I've learned to appreciate the little joys in life that don't require a hefty price tag.",0,1,0,0,0
"So, today was just another typical day as an undergraduate student at DLSU. Waking up early, I grabbed my backpack and headed to class. As I walked through the campus, I couldn't help but notice all the tempting entertainment and recreational activities happening around me. The only problem was, I never seemed to have enough money to indulge in these wants. It's frustrating, but hey, at least I have my studies to keep me occupied. One day, I'll have the means to enjoy all the fun things this campus has to offer.",0,1,0,0,0
"So, today was a typical day in my life as an undergraduate student at DLSU. Waking up early, rushing through morning routines, and heading off to class. As the day went on, I couldn't help but feel a pang of disappointment as I realized I didn't have enough money for my wants, like entertainment and recreation. While my friends planned outings or movie nights, I had to decline, knowing that my tight budget couldn't accommodate such luxuries. It's frustrating, but I remind myself that sacrifices now will pay off in the future.",0,1,0,0,0
"Today was a typical day at DLSU, filled with academic pursuits and the usual daily hassles. As an undergraduate student, one of the main challenges I face is not having enough money for my wants, especially when it comes to entertainment and recreation. It can be frustrating to see my friends enjoying fun activities while I have to limit myself due to financial constraints. However, I try to stay positive and make the most out of the free or inexpensive options available, such as exploring the campus, attending student organization events, or simply spending quality time with friends. Despite the financial limitations, I strive to find joy in the little things and appreciate the experiences that don't require a hefty price tag.",0,1,0,0,0
"So, today was a typical day as an undergraduate student at DLSU. Waking up early, attending classes, and dealing with the daily hassles. One of the biggest challenges is always not having enough money for my wants, like entertainment and recreation. It's tough seeing my friends going out and having fun while I have to stay in due to financial constraints. But hey, it's all part of the journey, and I know that hard work and perseverance will eventually pay off.",0,1,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As an undergraduate student, I found myself facing the daily hassle of not having enough money for my wants, like entertainment and recreation. Yearning to unwind and destress, I longed for a movie night with friends or a visit to a nearby amusement park. However, my tight budget forced me to find alternative ways to have fun, such as exploring the campus and attending free events. Despite the financial constraints, I embraced the challenge and made the most out of my day, cherishing the small joys that came my way.",0,1,0,0,0
"So, it was just another typical day as an undergraduate student at DLSU. As I woke up, I couldn't help but think about the limited funds in my wallet. The constant struggle of not having enough money for entertainment and recreation always weighed on my mind. Although I yearned for some fun and relaxation, I knew I had to prioritize my expenses wisely. With a sigh, I reminded myself that this temporary sacrifice would be worth it in the long run.",0,1,0,0,0
"Today was another typical day in the life of a broke college student. As I woke up and checked my bank account, reality hit me hard - there simply wasn't enough money for my wants. The thought of going out with friends or enjoying some recreational activities seemed like a distant dream. Instead, I had to settle for studying at the library and finding free ways to entertain myself. It may be a hassle, but I've learned to appreciate the little joys that don't require spending a dime.",0,1,0,0,0
"Today was a typical day for me as an undergraduate student at DLSU. As I woke up, I couldn't help but feel a pang of disappointment knowing that I didn't have enough money to indulge in entertainment and recreation. It's frustrating to see my friends enjoying their leisure activities while I have to prioritize my limited funds for necessities. Nevertheless, I reminded myself that this sacrifice is temporary and that my education is a valuable investment. So, I focused on my studies, hoping that one day I will have the means to enjoy the little luxuries in life.",0,1,0,0,0
"So, today started off like any other day of an average college student. I woke up late, rushed to get ready, and grabbed a quick breakfast before heading to class. As I sat through lectures, my mind kept wandering to all the fun activities and entertainment I wanted to indulge in. But alas, the reality hit me hard - my limited funds couldn't cover any of those desires. The struggle of not having enough money for entertainment and recreation constantly loomed over me, forcing me to prioritize my expenses and find solace in the simple joys of campus life.",0,1,0,0,0
"So, today was quite a hassle for me as an undergraduate student from DLSU. I couldn't help but constantly worry about owing money. With tuition fees, textbooks, and daily expenses, it feels like a never-ending cycle of financial stress. It's tough to focus on my studies when financial concerns are constantly at the back of my mind. But, I try to stay positive and motivated, knowing that education is an investment in my future.",0,0,1,0,0
"Today was just another day filled with worries and concerns about owing money. As an undergraduate student from DLSU, I constantly find myself juggling between paying tuition fees, buying textbooks, and covering my daily expenses. It's a constant struggle to manage my finances and ensure that I don't fall into debt. It's exhausting to constantly worry about money, but I remind myself that this is just a temporary phase and that my education will eventually pay off.",0,0,1,0,0
"So, today was quite a hassle. I woke up with concerns about owing money, as my student loan payment was due. It was stressful trying to figure out how to manage my finances while juggling my studies. I had to constantly remind myself to stay focused and not let this worry consume me. Thankfully, I was able to find a part-time job that would help ease the financial burden. It's a constant struggle, but I'm determined to overcome it and continue pursuing my dreams.",0,0,1,0,0
"Today was a typical day at DLSU, but my mind was preoccupied with concerns about owing money. As I walked through the campus, I couldn't help but think about the looming deadline for tuition payment. It weighed heavily on my shoulders, overshadowing my excitement for classes and extracurricular activities. I knew I had to find a way to settle this financial burden soon, but for now, my day was plagued with worries about money and the consequences of falling behind.",0,0,1,0,0
"Today was a typical day at DLSU, but my concerns about owing money kept nagging at me. I had to constantly worry about meeting my financial obligations while trying to focus on my studies. It was a constant source of stress and distraction. However, I reminded myself to stay positive and focused, knowing that I was working hard to overcome this obstacle and create a better future for myself.",0,0,1,0,0
"So, it's just another typical day for me at DLSU. I wake up feeling a bit anxious, as concerns about owing money cloud my mind. As I rush to get ready, the weight of my financial obligations weighs heavily on my shoulders. Throughout the day, I find myself constantly distracted, trying to come up with a plan to tackle this burden. However, amidst all the stress, I remind myself to stay positive and focused on my studies, knowing that hard work will eventually pay off.",0,0,1,0,0
"So, today was quite a rollercoaster ride for me. As an undergrad student at DLSU, one of my daily hassles revolves around concerns about owing money. You see, tuition fees, textbooks, and other expenses can really add up. Today, I had a moment of panic when I realized I forgot to pay my phone bill, and the due date was fast approaching. However, after a quick call to my parents, they assured me they would take care of it. Phew! It's a relief to have such supportive parents who understand the struggles of being a student.",0,0,1,0,0
"So, today has been quite a day. I woke up with concerns about owing money hanging over my head. As an undergraduate student from DLSU, managing finances can sometimes be a hassle. I spent the morning crunching numbers and devising a budget plan to ensure I stay on top of my expenses. It's frustrating at times, but I know it's all part of the journey towards independence and success. Despite the daily hassles, I'm determined to make the most out of my time at DLSU and emerge stronger from these challenges.",0,0,1,0,0
"So, today was just one of those days when concerns about owing money seemed to hang over my head like a dark cloud. As an undergraduate student from DLSU, managing my finances can be quite challenging. From tuition fees to daily expenses, it feels like a never-ending cycle of financial stress. But despite the constant worries, I try to stay focused and motivated, knowing that this is just a temporary phase in my journey towards a brighter future.",0,0,1,0,0
"Today was quite a hassle for me. I woke up with concerns about owing money to my friend for a borrowed textbook. It weighed on my mind throughout the day, distracting me from my classes. I kept thinking about how and when I could repay him. It's frustrating to have this financial burden hanging over me, but I know I need to find a solution soon.",0,0,1,0,0
"As an undergrad student from DLSU, my day started off with concerns about owing money. I had borrowed some cash from a friend to pay for my textbooks, but I couldn't help but worry about how I would repay them in time. Throughout the day, this thought lingered in the back of my mind, causing a constant sense of unease. It was a reminder that financial struggles are a part of student life, and I needed to find a way to manage my expenses more effectively.",0,0,1,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As an undergraduate student, I couldn't help but feel concerned about owing money. With tuition fees, textbooks, and daily expenses piling up, it's a constant worry in the back of my mind. However, I try to stay positive and motivated, reminding myself that education is an investment in my future. Despite these financial hassles, I remain determined to make the most out of my college experience and strive for success.",0,0,1,0,0
"So, today was quite a rollercoaster of a day. First off, I woke up with this nagging concern about owing money. It's not like I'm drowning in debt or anything, but sometimes the thought of pending expenses can really weigh you down. Nevertheless, I tried to push those worries aside and focused on my classes. It's funny how a simple lecture can momentarily distract you from life's little hassles. But as soon as the day ended, those concerns came rushing back, reminding me that adulthood comes with its fair share of financial headaches. Well, tomorrow is a new day, and hopefully, I can find a way to ease this burden.",0,0,1,0,0
"So, today was quite a hassle-filled day for me. First and foremost, I couldn't help but worry about owing money. Being an undergraduate student at DLSU, expenses tend to pile up, and it had been weighing heavily on my mind. To add to my worries, I had to deal with the usual daily grind of classes, assignments, and deadlines. It felt like a never-ending cycle of stress and anxiety, but I tried my best to stay positive and focused on finding ways to manage my finances more efficiently.",0,0,1,0,0
"So, today started off with concerns about owing money. As an undergraduate student from DLSU, budgeting is crucial, and unexpected expenses can really throw me off balance. I spent the morning figuring out ways to manage my finances better and finding part-time jobs to ease the burden. It's not easy, but I'm determined to overcome this hurdle and ensure a brighter future. With a positive mindset, I headed to class, ready to conquer the day.",0,0,1,0,0
"So, today started off with concerns about owing money. As an undergraduate student, managing finances can be quite challenging. But instead of dwelling on it, I decided to focus on my studies and seek ways to earn extra income. Despite the hassle, I pushed through the day with determination and a positive mindset. With the support of my friends and family, I know I can overcome this obstacle and turn it into a valuable learning experience.",0,0,1,0,0
"So, today was just one of those days where everything seemed to go wrong. I woke up with concerns about owing money, which instantly put a damper on my mood. As I rushed to class, my laptop decided to crash, leaving me in a panic as I desperately tried to recover my files. To top it off, I realized I had forgotten my lunch at home, and the cafeteria line was incredibly long. It felt like the universe was conspiring against me. But hey, tomorrow is a new day, and hopefully, it won't be filled with the same daily hassles. Fingers crossed.",0,0,1,0,0
"So, today was one of those days where I couldn't help but stress about owing money. As an undergraduate student at DLSU, expenses can pile up quickly. From tuition fees to books and daily necessities, it sometimes feels like a never-ending cycle of financial worries. Today, I found myself constantly checking my bank account, hoping that somehow a miracle would happen and all my debts would disappear. Despite the constant concern, I managed to get through the day with determination, reminding myself that hard work and perseverance will eventually lead me to a more stable financial state.",0,0,1,0,0
