Narrative,Pollution,Crime,Traffic,Concerns about news events,Rising prices of common goods,Concerns about accidents
"Today was a typical day at DLSU, filled with the usual hustle and bustle. As I walked towards campus, the pollution engulfed me, making it hard to breathe. The air was thick with smog, and the constant honking of cars added to the chaos. Despite this, I navigated through the crowded streets, determined to reach my classes. Pollution may be an everyday hassle, but it won't stop me from pursuing my education and making a difference in the world.",1,0,0,0,0,0
"Today started out like any other day, as I made my way to DLSU through the bustling streets of Manila. However, the constant pollution that enveloped the city made me long for a breath of fresh air. The smog-filled atmosphere left me with a heavy feeling in my chest, making it hard to concentrate on my studies. As I weaved through the traffic, I couldn't help but wish for a cleaner and greener environment, where the simple act of breathing wouldn't be such a struggle.",1,0,0,0,0,0
"Today started off like any other day. As I stepped out of my dormitory in DLSU, I was immediately greeted by the harsh reality of pollution. The smog filled the air, making it difficult to breathe. Walking to class, I noticed the litter scattered everywhere, a constant reminder of human negligence. It's disheartening to witness the consequences of pollution firsthand. Despite the hassles, I remain hopeful that one day we can all come together to create a cleaner and healthier environment for ourselves and future generations.",1,0,0,0,0,0
"Today was another typical day in the bustling city of Manila. As I stepped out of my apartment, the pungent smell of pollution immediately hit me. The air was thick with exhaust fumes, making it hard to breathe. I hurriedly made my way through the crowded streets, dodging honking cars and motorcycles. Despite the pollution, the vibrant energy of the city kept me going. However, I couldn't help but wish for cleaner air, dreaming of a future where pollution is just a distant memory.",1,0,0,0,0,0
"Today was just like any other day in the bustling city of Manila. As I walked to class, the overpowering stench of pollution filled the air, making it difficult to breathe. The smoke from countless vehicles and the constant honking of horns added to the chaos. Despite the beautiful campus of De La Salle University, pollution remained a constant reminder of the challenges we face as city dwellers. It is disheartening to witness the impact of pollution on our environment, but it only strengthens my resolve to find sustainable solutions for a greener future.",1,0,0,0,0,0
"Today was a typical day as an undergraduate student at DLSU, yet it was overshadowed by the constant presence of pollution. As I walked to class, the air felt heavy with smog, making it difficult to breathe. It was disheartening to see the littered streets, reminding me of the detrimental effects of human negligence. Despite these daily hassles, I reminded myself of the importance of taking small steps towards a cleaner environment. It served as a reminder that we must all work together to combat pollution and preserve the beauty of our surroundings.",1,0,0,0,0,0
"Today was another chaotic day in the bustling city. As I stepped out of my apartment, the thick smog of pollution engulfed me, making it hard to breathe. The constant honking of cars and the exhaust fumes filled the air, leaving a stale taste in my mouth. It's disheartening to witness the deteriorating air quality, knowing the detrimental effects it has on our health. Despite this daily hassle, I trudged on, determined to make a positive impact and raise awareness about the importance of combating pollution.",1,0,0,0,0,0
"Today was another hectic day at DLSU. As I walked to campus, I couldn't help but notice the thick smog hanging in the air. Pollution seemed to be at an all-time high, making it hard to breathe. I hurriedly made my way through the crowded streets, dodging vehicles spewing out exhaust fumes. Despite the inconvenience and discomfort, I reminded myself of the importance of education in finding solutions to issues like pollution. It's a daily hassle, but I was determined to make a difference, one step at a time.",1,0,0,0,0,0
"Today, as I made my way to DLSU, I couldn't help but notice the thick blanket of pollution hanging over the city. The air felt heavy, and a constant smell of exhaust fumes filled my nostrils. It was disheartening to witness the consequences of human activities on the environment. Despite wearing a mask, I couldn't escape the reality of pollution surrounding me. It served as a reminder of the urgent need for sustainable practices and collective efforts to combat this daily hassle that affects our health and the planet we call home.",1,0,0,0,0,0
"Today was just another day of battling the chaos and pollution of the city. As I walked to class, the thick smog hung heavily in the air, making it difficult to breathe. The incessant honking of cars added to the already overwhelming noise pollution. It seemed like a never-ending cycle of dust, fumes, and noise. Despite the challenges, I remained determined to push through and make the most out of my day at DLSU. I reminded myself that amidst the pollution, there was still beauty to be found in the vibrant energy and opportunities this bustling city had to offer.",1,0,0,0,0,0
"Today was another hectic day as an undergraduate student at DLSU. I woke up to the irritating sound of car horns blaring and the foul smell of pollution seeping through my window. As I walked to class, I couldn't help but notice the thick layer of smog engulfing the city, making it difficult to breathe. Throughout the day, I found myself constantly sneezing and coughing due to the polluted air. Despite the challenges posed by pollution, I managed to power through my classes and stay focused on my studies, determined to make the most out of my day at DLSU.",1,0,0,0,0,0
"So, today was just another typical day at DLSU. As I made my way to class, I couldn't help but notice the overwhelming pollution in the city. The air felt heavy and filled with smog, making it difficult to breathe. It's frustrating to see the effects of pollution on our environment and the toll it takes on our health. Despite the hassle, I remain hopeful that one day we can find sustainable solutions to combat this issue and make our campus a cleaner and healthier place to study and thrive.",1,0,0,0,0,0
"Today was just another day in this chaotic city. As I stepped out of my dorm room, I was immediately greeted by a thick cloud of pollution. The air felt heavy and suffocating, making it hard to breathe. It's disheartening to see how pollution has become a daily hassle, affecting not only our health but also the environment. As I walked to class, I couldn't help but wonder when we would finally find a solution to this persistent problem.",1,0,0,0,0,0
"Today started off like any other day, with the hustle and bustle of the city surrounding me. As I made my way to DLSU, it seemed like a typical Thursday. However, my day took an unexpected turn when I witnessed a crime unfold right before my eyes. It was a shocking and unsettling experience, leaving me feeling vulnerable and anxious. Despite this unsettling encounter, I managed to find solace within the DLSU community, who provided support and reassurance. As I reflect on this incident, I am reminded of the importance of staying vigilant and looking out for one another in this dynamic and ever-changing world.",0,1,0,0,0,0
"Today was just like any other day at DLSU, filled with classes and campus activities. However, a sudden incident of crime disrupted the tranquility. As I was walking to the library, I witnessed a snatch thief running off with a student's bag. The commotion and fear in the air were palpable. Luckily, campus security swiftly responded, apprehending the culprit and returning the stolen belongings. Though shaken, it was a reminder that even in our secure campus, we must remain vigilant and look out for one another.",0,1,0,0,0,0
"Today started off like any other day for me as an undergraduate student at DLSU. However, as I made my way to campus, I couldn't help but notice the unsettling presence of crime. The news of a recent theft had spread like wildfire among my classmates, leaving us all on edge. It's disheartening to see such incidents disrupt the peace and safety of our university. Despite these daily hassles, we must remain vigilant and work together to create a secure environment for everyone on campus.",0,1,0,0,0,0
"Today was not a typical day at DLSU. As I headed to my morning classes, the campus was buzzing with news about a recent crime that had occurred. Students were on edge, and the atmosphere was tense. It was disheartening to see such incidents disrupt our peaceful community. Despite the fear, the incident served as a reminder for us to stay vigilant and look out for one another. As the day went on, we vowed to work together to ensure the safety and security of our beloved university.",0,1,0,0,0,0
"So, today started off like any other day, with the usual hustle and bustle of Manila. However, just as I was about to head to my class, I heard sirens blaring nearby. Curiosity got the best of me, and I discovered that a crime had occurred right outside our campus. It was a shocking reminder of the reality we live in, where crime can happen anywhere, even in the supposed safety of a university. It made me reflect on the importance of staying vigilant and cautious, even in familiar surroundings.",0,1,0,0,0,0
"Today was such a hectic day at DLSU. As I hurried through the bustling campus, I couldn't help but overhear rumors of a recent crime on campus. It sent a shiver down my spine, reminding me to stay vigilant. Despite the unsettling news, I pushed forward with my day, attending classes and engaging in campus activities. I couldn't help but feel a sense of unity among my fellow students, as we all shared a common concern for our safety. Together, we vowed to support each other and ensure that our beloved university remains a safe haven for all.",0,1,0,0,0,0
"Today started off on a rather distressing note. As I made my way to campus, I couldn't help but notice the unsettling presence of a crime scene nearby. The flashing police lights and caution tape created an atmosphere of unease. It served as a solemn reminder of the harsh reality that crime is an unfortunate part of our daily lives. Nevertheless, I gathered my composure and carried on, determined to make the most out of my day at DLSU, hoping that one day, crime will no longer shadow our paths.",0,1,0,0,0,0
"Today has been quite a rollercoaster ride. As a DLSU undergraduate student, I encountered the daily hassle of crime. While walking to the library, I witnessed a snatch thief swiftly grab a woman's purse and disappear into the crowd. Shocked, I immediately called for help and provided the authorities with a detailed description. Despite the unsettling incident, I am grateful for the sense of unity that emerged as fellow students and faculty members came together to ensure everyone's safety on campus.",0,1,0,0,0,0
"Today was a pretty eventful day at DLSU. As I was rushing to my first class, I witnessed a crime right outside the campus gates. A snatch thief swiftly grabbed a phone from a passerby and disappeared into the busy streets. It was alarming to see how easily crimes can happen even in broad daylight. Thankfully, security personnel arrived promptly to assist the victim. This incident served as a reminder to always stay vigilant and cautious, even within the confines of our university.",0,1,0,0,0,0
"Today was quite eventful. As I was heading to my morning class at DLSU, I witnessed a petty crime on the street. A snatcher swiftly grabbed a woman's bag and disappeared into the bustling crowd before anyone could react. It was disheartening to see such incidents happening so close to our campus. However, it served as a reminder to always stay vigilant and cautious, even in familiar surroundings. Despite this unsettling encounter, I managed to focus on my studies and make the most out of the day.",0,1,0,0,0,0
"Today started off like any other day at DLSU, but little did I know that crime would disrupt my routine. While walking to my class, I noticed a commotion near the library. As I got closer, I witnessed a snatch thief attempting to steal a student's bag. Without hesitation, I joined forces with fellow students and confronted the criminal, managing to retrieve the bag before he escaped. Although it was a hassle, it felt empowering to stand up against crime and protect our community at DLSU.",0,1,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, a sense of unease lingered in the air due to the recent crime incidents on campus. As I walked to class, I noticed an increased security presence, reminding us to stay vigilant. It's disheartening to see our safe haven affected by such incidents, but it serves as a reminder to take precautions and look out for one another. Despite this hurdle, I refuse to let fear overshadow my pursuit of knowledge and growth at DLSU.",0,1,0,0,0,0
"Today started off like any other day as an undergraduate student at DLSU. However, as I was walking to class, I witnessed a crime unfold right before my eyes. Two individuals were engaged in a heated argument that quickly escalated into a physical altercation. I immediately dialed the campus security hotline, and within minutes, they arrived to diffuse the situation. It was a reminder that even in the confines of our university, crime can sneak up unexpectedly. Despite the unsettling incident, I continued with my day, grateful for the swift response of our security personnel.",0,1,0,0,0,0
"Today started off like any other day, with my alarm blaring and me scrambling to get ready for class. Little did I know that crime would become an unexpected hassle in my day. As I made my way to campus, I witnessed a group of individuals trying to snatch a woman's bag. Without hesitation, I rushed to her aid, shouting for help. Thankfully, some bystanders also intervened, and together we managed to scare off the culprits. Although shaken, it was a reminder of the importance of staying vigilant and looking out for one another in this unpredictable world.",0,1,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, it was marred by an unfortunate incident of crime. As I walked back to my dormitory after classes, I witnessed a snatcher swiftly grab a student's bag and disappear into the crowd. The victim's shocked expression lingered in my mind, reminding me of the harsh reality that even within the confines of our university, crime can rear its ugly head. It served as a reminder to stay vigilant and cautious, even in the supposed safety of our campus.",0,1,0,0,0,0
"So, today started off like any other day at DLSU. I was rushing to my morning class, trying to avoid the usual traffic. As I reached the campus, I noticed a commotion near the entrance. Apparently, there had been a petty crime incident nearby. It's disheartening to see such incidents occur in our safe haven. Despite this, I reminded myself to stay alert and vigilant, always looking out for my fellow Lasallians. Safety should always be a priority, and it's crucial that we work together to prevent such incidents from happening again.",0,1,0,0,0,0
"Today was quite eventful. As I made my way to the university, I witnessed a crime unfold right before my eyes. A thief snatched a woman's purse and dashed off into the crowded streets. Although startled, I quickly dialed emergency services and provided a description of the culprit. Thankfully, the police managed to apprehend the thief shortly afterward. While this unexpected incident disrupted my day, it served as a reminder to always stay vigilant and aware of my surroundings.",0,1,0,0,0,0
"So, here's how my day went as an undergrad student at DLSU. As I was walking towards the university, I couldn't help but notice the grim atmosphere caused by the recent crime incident that occurred nearby. It left me feeling uneasy and cautious throughout the day. Despite the added worry, I managed to focus on my classes and interact with friends, hoping that our community could come together to prevent such incidents from happening again.",0,1,0,0,0,0
"So, I was walking to my class through the busy streets of Manila when suddenly I witnessed a crime taking place right in front of me. A snatch thief grabbed a lady's bag and started running away. Without thinking twice, I shouted for help and chased after him. Thankfully, a group of bystanders joined me, and together we managed to catch the thief and return the bag to its rightful owner. It was definitely an adrenaline-filled moment that reminded me of the importance of staying vigilant in a city like Manila.",0,1,0,0,0,0
"Today was a rollercoaster of emotions. As I made my way to DLSU, the news of a recent crime in the area left me feeling uneasy. The morning lecture felt surreal as thoughts of personal safety lingered in my mind. However, I refused to let fear dictate my day. I stayed vigilant, walked in groups, and reported any suspicious activities. Despite the constant reminder of crime, I reminded myself that knowledge is power, and education is the key to a safer future.",0,1,0,0,0,0
"Today started off like any other typical day for me as an undergraduate student at DLSU. I woke up early, eager to conquer the day ahead. However, as I stepped out of my dormitory, I was met with an unsettling sight. A crime had occurred overnight, leaving the campus community in a state of shock. Police cars and investigators were scattered around, disrupting the usual tranquility of the campus. Despite the unsettling incident, I carried on with my day, navigating through the labyrinthine hallways, determined to focus on my studies and not let the crime dampen my spirits.",0,1,0,0,0,0
"Today started off like any other day. I woke up early, ready to conquer the challenges that lie ahead. Little did I know that crime would find its way into my day. As I was walking to class, I witnessed a purse snatching incident. It was a moment of panic and chaos, but I managed to alert the authorities and provide them with a description of the culprit. Though shaken, I continued with my day, realizing that even in the midst of daily hassles, there is always room for courage and resilience.",0,1,0,0,0,0
"Today started off like any other day, with the usual hustle and bustle of students rushing to class. However, it took an unexpected turn when I witnessed a crime on campus. As I walked towards the library, I noticed a group of individuals attempting to snatch a student's bag. Without hesitation, I alerted the nearby security guards who swiftly apprehended the culprits. Although shaken by the incident, it reminded me of the importance of staying vigilant and looking out for one another in our campus community. It's disheartening to see such hassles, but it serves as a reminder that we must remain resilient and united to ensure a safe and secure environment for all.",0,1,0,0,0,0
"So, today was just another typical day at DLSU. I woke up feeling groggy from a late night of studying. As I made my way to the campus, I couldn't help but notice the increased security presence due to recent crimes reported around the area. It's disheartening to see such incidents happening in a place that's supposed to be safe. Nonetheless, I carried on with my day, trying to stay vigilant and focused on my studies, hoping that things will improve soon.",0,1,0,0,0,0
"Today started off as a regular day at DLSU, but it quickly turned into chaos when a crime occurred on campus. As I was walking to my morning class, I noticed a commotion near the library. Confused, I approached the scene only to find out that someone had stolen a laptop from a student's bag. The atmosphere became tense as security guards and faculty members rushed to investigate. The incident reminded everyone of the importance of staying vigilant and taking precautions, even within the supposed safety of our university.",0,1,0,0,0,0
"So, today was quite an eventful day at DLSU. As I was walking to my class, I witnessed a minor crime unfold right before my eyes. A student's phone was snatched by a passerby on a motorcycle. The commotion that followed was chaotic, with students shouting and trying to chase the thief. Luckily, campus security was quick to respond, and the thief was apprehended. It was a reminder that even in the confines of our university, we are not immune to the daily hassles of crime.",0,1,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, amidst the bustling atmosphere, a sense of unease lingered due to the recent crime incidents on campus. As I walked to my first class, I kept a watchful eye, clutching my bag tightly. It's disheartening to see such incidents tarnish our safe haven. Nonetheless, the vibrant spirit of the Lasallian community remained resilient, as we rallied together, holding safety seminars and reporting suspicious activities. Despite the hurdle, we continue to strive for a safe and secure campus environment.",0,1,0,0,0,0
"Today started off like any other day, until I witnessed a crime unfold right before my eyes. As I was walking to class, I saw a group of individuals engaging in a heated argument. Suddenly, one of them pulled out a knife, sending a wave of panic through the crowd. I quickly dialed the emergency hotline to report the incident, hoping that help would arrive soon. It was a terrifying experience, but it reminded me of the importance of staying vigilant and taking action when faced with such situations.",0,1,0,0,0,0
"Today started off like any other day. I woke up early, rushed to catch the crowded train to DLSU. As I was walking to my first class, I noticed a commotion near the entrance. It turned out that someone had stolen a student's laptop from their bag. The incident left us all feeling uneasy and reminded me to be more cautious with my belongings. Despite this unexpected crime, I tried to focus on my studies and make the most of my day at DLSU.",0,1,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, a sense of unease lingered in the air due to a recent crime that occurred on campus. As I walked to my first class, I couldn't help but feel a slight apprehension. The incident reminded us all to stay vigilant and look out for one another. Despite the unsettling atmosphere, we continued with our daily routines, hoping that security measures would be strengthened and that our beloved campus would remain a safe haven.",0,1,0,0,0,0
"Today was another typical day as an undergraduate student at DLSU. The morning rush hour traffic greeted me with its usual chaos and frustration. Bumper-to-bumper cars, honking horns, and impatient drivers were a constant reminder of the daily struggle to reach campus on time. Despite the hassle, I managed to navigate through the congested streets, dodging motorcycles and weaving through lanes. The traffic may test my patience, but it won't deter me from pursuing my education and making the most of my day at DLSU.",0,0,1,0,0,0
"Today was a typical day as an undergrad at DLSU, with one major hassle: traffic. The morning rush hour turned my usually smooth commute into a sluggish crawl. Buses and cars moved at a snail's pace, causing frustration to bubble up within me. I watched the minutes tick by, anxiously hoping not to be late for my first class. Eventually, I reached my destination, but the long wait left me drained and irritable. Traffic, the bane of every student's existence, never fails to test our patience.",0,0,1,0,0,0
"So, here's how my day went: I woke up late, rushed to get ready, and stepped out of my dorm only to be greeted by the dreaded Manila traffic. It seemed like every vehicle in the city had decided to hit the road at the same time. As I sat in the jeepney, inching forward at a snail's pace, I couldn't help but feel frustrated. It took forever to reach the university, but I made it just in time for my first class. Despite the traffic hassle, I managed to salvage my day and make the most out of it.",0,0,1,0,0,0
"Man, what a day! Woke up late, rushed to catch my first class. But of course, traffic had other plans. Gridlock everywhere, making me anxious and frustrated. Finally made it to campus, only to find out that my professor canceled the class. Ugh! Spent the rest of the day trying to catch up on missed work. Traffic ruined my day, but tomorrow is a new chance to beat it and conquer the day!",0,0,1,0,0,0
"Man, today was one of those days where traffic just messed everything up. I left my dorm early, thinking I'd beat the rush, but boy was I wrong. The roads were jam-packed with cars honking endlessly. I was stuck in bumper-to-bumper traffic for what felt like an eternity. By the time I reached campus, I was already late for my morning class. Ugh, I really need to find a way to avoid this daily hassle.",0,0,1,0,0,0
"So, today started off with the usual traffic jam that seems to never end. I hopped on the jeepney, desperately hoping to make it to my morning class on time. But of course, the wheels kept crawling at a snail's pace, making me dread the thought of being stuck in this metal box for what seemed like eternity. As I finally reached my destination, I rushed into the classroom, panting and disheveled. Traffic, oh how you always manage to test my patience and put a damper on my day.",0,0,1,0,0,0
"So, picture this: I wake up early to beat the traffic, only to find myself stuck in an endless sea of cars. Honking horns and impatient drivers surround me as I anxiously check the time. I glance at my watch and realize that I'm running late for my first class. Frustration sets in as I inch forward, knowing that I'll have to explain my tardiness once again. Traffic, the eternal struggle of every DLSU student trying to make it through the day.",0,0,1,0,0,0
"Man, today was such a hassle. The traffic in Manila is always insane, and today was no exception. I spent what felt like hours stuck in my car, going nowhere fast. It's frustrating how this city's infrastructure just can't keep up with the growing number of vehicles. I ended up being late for my morning class, which was a bummer. Dealing with traffic is just a part of everyday life here, and it never fails to test my patience.",0,0,1,0,0,0
"So, I wake up to yet another day of being stuck in traffic. Manila's infamous traffic jams have become a daily struggle for me as a student at DLSU. I spend hours on the road, frustrated and anxious about being late to my classes. It's a constant battle against time, maneuvering through the chaotic streets, desperately trying to reach my destination. But amidst the honking horns and endless sea of vehicles, I find solace in knowing that I'm not alone, as my fellow Lasallians navigate this same struggle every day.",0,0,1,0,0,0
"Man, today was such a hassle. I woke up late, rushed to get ready, and stepped into the chaotic world of traffic. The roads were jam-packed with honking cars and impatient drivers. It felt like a never-ending maze of frustration. I sat in my car, inching forward at a snail's pace, mentally calculating the minutes I was losing. Traffic, the bane of every commuter's existence, seemed determined to test my patience. Eventually, I arrived at DLSU, feeling drained from the battle with the city's congestion.",0,0,1,0,0,0
"Today was another typical day as an undergraduate student at DLSU. I woke up early, excited for the day ahead. However, as soon as I stepped out of my dorm, I was greeted by the notorious Manila traffic. The usually short commute turned into a never-ending journey of honking horns and impatient drivers. Despite the frustration, I managed to keep my spirits up, knowing that this daily hassle was just a small bump in the road towards achieving my dreams.",0,0,1,0,0,0
"So, I wake up in the morning, hoping for a smooth start to my day. But as soon as I step out of my dorm, I am greeted by the chaotic Manila traffic. Bumper-to-bumper cars, impatient honking, and endless waiting become my morning routine. The frustration builds up as minutes turn into hours wasted in transit. I try to distract myself with music or podcasts, but the traffic seems to have a never-ending grip on my daily routine. All I can do is sigh and hope for a better commute tomorrow.",0,0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. As I woke up early in the morning, I couldn't help but groan at the thought of the inevitable traffic I would face on my way to school. Manila's notorious traffic never fails to test my patience, and today was no exception. Despite leaving my house early, I found myself stuck in an endless sea of cars, inching my way towards the university. The traffic added unnecessary stress to my day, but I knew I had to remain composed and make the most out of my time once I finally arrived on campus.",0,0,1,0,0,0
"So, picture this: I wake up after hitting the snooze button for the fourth time, only to realize that I'm running late for my morning class. I quickly get ready and rush out the door, only to be greeted by the chaotic Manila traffic. As I sit in the cab, helplessly watching the minutes tick away, I can't help but wonder why I didn't leave earlier. Traffic, the eternal nemesis of every DLSU student, strikes again, making me dreadfully late for my class.",0,0,1,0,0,0
"Today was just another day filled with the usual traffic chaos. I woke up early, hoping to beat the rush hour, but to no avail. The streets were congested, and it felt like eternity just to move a few meters. I ended up arriving late for my morning class, feeling frustrated and exhausted. Traffic has become an everyday hassle that tests my patience and drains my energy. I can't wait for the day when I don't have to battle the never-ending sea of cars and can peacefully navigate the city.",0,0,1,0,0,0
"Today was such a hassle. The traffic on my way to DLSU was absolutely insane! It felt like I was stuck in a never-ending sea of cars, inching forward at a snail's pace. I had to constantly check my watch, worried that I would be late for my morning class. It was frustrating, to say the least. I hope tomorrow's commute is smoother, or else I might need to consider leaving even earlier to avoid this daily struggle.",0,0,1,0,0,0
"So, today was just another typical day as an undergraduate student at DLSU. As I woke up, I already anticipated the dreaded traffic that awaited me on my way to school. Maneuvering through the busy streets, I found myself stuck in a never-ending line of cars, honking horns and impatient drivers. Despite leaving early, I arrived just in time for my first class, feeling slightly frazzled. Traffic may be a daily hassle, but I've learned to adapt and make the most out of my time stuck in my car, mentally preparing myself for the day ahead.",0,0,1,0,0,0
"Today was just another typical day as an undergraduate student at DLSU. I woke up early to beat the infamous Manila traffic, but alas, it seemed like every other day, I found myself stuck in the gridlock. The honking horns and the impatient drivers only added to my frustration. Despite the traffic hassle, I managed to reach the university just in time for my first class. It's a constant battle, but I've learned to navigate through the chaos and make the most out of my day.",0,0,1,0,0,0
"So, picture this: I wake up early in the morning, excited for another day at DLSU. But as soon as I step out of my dorm, I'm greeted by the chaotic Manila traffic. The streets are packed with cars, buses, and jeepneys, all honking incessantly. I try to keep my cool, but frustration builds as I inch forward at a snail's pace. Eventually, I arrive on campus, feeling a mix of relief and annoyance. Traffic, you're a daily hassle that tests my patience, but I won't let you dampen my spirit!",0,0,1,0,0,0
