Narrative,Concerns about medical treatment,Physical illness,Side effects of medication,Concerns about health in general,Concerns about bodily functions
"Today was such a stressful day. I woke up with concerns about my medical treatment. I've been experiencing some health issues lately, and the uncertainty about the diagnosis has been weighing on my mind. I spent the whole morning researching and reading about possible causes and treatment options. It's frustrating not having all the answers, but I'm determined to find a solution. Hopefully, I can get some clarity soon and find the right treatment to alleviate my worries.",1,0,0,0,0
"Today was a typical day at DLSU, filled with the usual hustle and bustle. However, amidst the chaos, I couldn't help but worry about my ongoing medical treatment. Thoughts of doctors' appointments, medication schedules, and potential side effects constantly plagued my mind. It's difficult to focus on studies when concerns about my health loom in the background. Nevertheless, I push through, reminding myself that education is my ticket to a brighter future, regardless of these daily hassles.",1,0,0,0,0
"So, today was quite a hassle. I woke up with concerns about my medical treatment. The prescribed medication doesn't seem to be working, and I'm worried about the side effects it might have. I spent the morning researching alternative treatments and consulting with my doctor. The uncertainty and frustration of not finding a solution right away made my day quite stressful. Hoping for a better outcome tomorrow. Fingers crossed!",1,0,0,0,0
"Today was quite a stressful day for me. Apart from the usual academic load, I found myself constantly worrying about my medical treatment. Dealing with the uncertainty of my condition and the effectiveness of the prescribed medication has been overwhelming. It's hard to focus on my studies when my health is constantly on my mind. I hope I can find some peace of mind soon and get back to enjoying my college life without these concerns lingering in the back of my head.",1,0,0,0,0
"So, today started off with concerns about my medical treatment. I've been dealing with this nagging pain for a while now, and it's been affecting my daily activities. I finally decided to seek professional help, but the thought of medical procedures and potential side effects is making me anxious. Despite my worries, I gathered the courage to visit the doctor and discuss my concerns. The doctor was understanding and reassured me that we would find the best solution together. It might not have been the easiest start to the day, but taking that step towards better health was definitely worth it.",1,0,0,0,0
"Today was quite a hectic day at DLSU. Between attending classes, studying for exams, and completing assignments, I couldn't help but worry about my medical treatment. The lingering concerns about my health kept distracting me throughout the day, making it difficult to focus. It's frustrating to deal with these worries while trying to keep up with my academic responsibilities. I hope I can find some peace of mind soon and focus on my studies without any interruptions.",1,0,0,0,0
"Today was a rollercoaster of emotions. I woke up with concerns about my medical treatment, wondering if it's really helping me or if I should explore other options. Despite the cloud of worry hanging over me, I managed to push through the day. From attending classes and completing assignments to meeting up with friends, I found solace in their company. Although my concerns still lingered, distracting myself with the hustle and bustle of university life provided a temporary relief.",1,0,0,0,0
"Today was quite a hassle for me. I woke up with concerns about my ongoing medical treatment. The doctor's instructions seemed confusing, and I couldn't help but worry if I was doing everything right. I decided to call the clinic, but they couldn't provide immediate clarification. It left me feeling frustrated and anxious. I knew I had to find a way to address my concerns, maybe by seeking a second opinion or scheduling another appointment. Dealing with medical uncertainties can be overwhelming, but I'm determined to find a resolution and prioritize my well-being.",1,0,0,0,0
"Today was quite a stressful day for me. I've been dealing with concerns about my medical treatment. The doctor recommended a new medication, but I can't help but worry about the potential side effects. It's been causing me a lot of anxiety and sleepless nights. I'm constantly researching and seeking second opinions, hoping to find some reassurance. It's just another hurdle I have to face as a student, but I'm determined to prioritize my health and find the best solution.",1,0,0,0,0
"Today was quite a hassle. I woke up with concerns about my medical treatment. The doctor's instructions were confusing, and I couldn't help but worry if I was doing everything right. I decided to call the clinic to clarify, but they put me on hold for what felt like ages. Finally, when I got through, the receptionist couldn't provide the answers I needed. Frustrated, I decided to seek a second opinion. Hopefully, I can find a healthcare professional who can address my concerns more clearly.",1,0,0,0,0
"Today started off with a terrible physical illness that left me feeling weak and nauseous. I had to drag myself out of bed and force myself to attend class. Throughout the day, I struggled to concentrate on my lectures and participate in discussions. The constant discomfort made it nearly impossible to focus on my studies. Despite my best efforts, the physical illness proved to be a significant hurdle in my day, making everything feel more challenging and exhausting.",0,1,0,0,0
"Today has been quite a challenging day for me as I woke up feeling under the weather. Battling a physical illness, I struggled to focus during my classes and complete my assignments. Despite my best efforts, fatigue and discomfort kept creeping in, making it difficult to concentrate. Thankfully, my professors were understanding and supportive, providing me with extensions and offering guidance. Despite the setback, I pushed through, reminding myself that my health should always come first.",0,1,0,0,0
"Today, as an undergraduate student at DLSU, my day was marred by the unwelcome visitor of physical illness. Waking up with a pounding headache and aching body, I dragged myself out of bed and trudged through the day. Despite the overwhelming fatigue, I pushed through classes, feeling like a zombie. The constant need to blow my nose and the irritating cough made it difficult to concentrate. I longed for the comfort of my bed, but the demands of academia kept me going. Physical illness may have slowed me down, but it didn't stop me from soldiering on.",0,1,0,0,0
"Today started off rough as I woke up feeling under the weather. Battling a physical illness made it challenging to focus during my classes, and I found myself struggling to keep up with the lecture. Throughout the day, I constantly had to deal with a runny nose, a pounding headache, and an overall feeling of fatigue. Despite the discomfort, I managed to push through and complete my assignments, but it was undoubtedly a hassle trying to function normally with my physical health taking a toll.",0,1,0,0,0
"Today started off rough as I woke up with a pounding headache and a stuffy nose. Despite feeling physically ill, I dragged myself to class, hoping to power through the day. However, my energy levels plummeted and my concentration waned. It was a constant struggle to pay attention and actively participate in discussions. Frustration settled in as I realized how much I was missing out on due to this physical setback. Nevertheless, I pushed through, reminding myself that tomorrow is a new day and that my health will improve with time.",0,1,0,0,0
"Today started off rough as I woke up with a pounding headache and a scratchy throat. Battling physical illness, I dragged myself to class, trying to keep up with the lectures through my foggy mind. The constant sniffling and sneezing made it hard to concentrate, and all I wanted was to crawl back into bed. Despite feeling under the weather, I pushed through the day, reminding myself that this too shall pass.",0,1,0,0,0
"Today was a tough day for me. I woke up feeling under the weather, with a pounding headache and a stuffy nose. It was hard to focus on my classes as my physical illness kept distracting me. Despite my best efforts to stay engaged and take notes, the constant need to blow my nose and the throbbing pain in my head made it challenging. I'm grateful for the understanding of my professors, who allowed me to take it easy and catch up on missed lectures later.",0,1,0,0,0
"Today started off rough. I woke up with a pounding headache and a stuffy nose, feeling completely under the weather. Dragging myself to class was a challenge, as every step felt like a marathon. Concentrating in lectures seemed impossible with my throbbing head. I pushed through, trying to keep up with my classmates, but my physical illness persisted. The day felt long and exhausting, with each task becoming a mountain to climb. All I could think about was crawling into bed and getting some much-needed rest.",0,1,0,0,0
"Today has been quite a challenging day for me. I woke up feeling under the weather, battling a stubborn cold. Despite my physical illness, I mustered up the energy to attend my classes at DLSU. Navigating through the bustling campus with a constantly runny nose was no easy task, but I pushed through. Thankfully, my friends were understanding and offered their support. Despite the discomfort, I managed to make it through the day and even complete my assignments. Despite the physical setback, I'm determined to not let this illness hinder my academic pursuits.",0,1,0,0,0
"Today started off as a typical day at DLSU, but unfortunately, I woke up feeling physically ill. I dragged myself to class, trying to focus on the lecture while battling a pounding headache and a runny nose. It was a struggle to concentrate and actively participate in discussions. After class, I decided to seek medical attention at the university clinic. The doctor prescribed medication and advised rest. Despite feeling unwell, I pushed through the day, reminding myself that it's just a temporary setback. I'm grateful for the support of my friends and professors who understood my situation and offered their help.",0,1,0,0,0
"Today was not my day. I woke up feeling completely under the weather, battling a physical illness. Every step felt like a struggle, and my body was aching all over. Despite my best efforts to push through, I had to admit defeat and miss my morning classes. It was frustrating to have my plans derailed by my own body, but I knew that taking care of my health was a priority. Hoping for a speedy recovery, I spent the rest of the day resting and nursing myself back to health.",0,1,0,0,0
"Today started off rough as I woke up with a pounding headache and a sore throat. Dragging myself to class, I struggled to concentrate and participate in discussions. The physical illness made it hard to keep up with the fast-paced lectures, and I felt drained of energy. Despite my best efforts, I couldn't escape the discomfort, but I pushed through the day, hoping for a speedy recovery.",0,1,0,0,0
"Today was not my lucky day. I woke up feeling awful, my head pounding and my body aching. It was definitely not the best way to start the day. Dragging myself out of bed, I mustered enough energy to attend my morning classes. My physical illness made it hard to concentrate and participate in class discussions. I couldn't wait for the day to be over so I could finally crawl back into bed and rest.",0,1,0,0,0
"Today started off rough as I woke up feeling under the weather. Battling a nasty physical illness, I dragged myself to class, my body protesting with every step. Concentrating on lectures became an arduous task as my pounding headache and incessant cough took center stage. Despite my best efforts, my energy levels plummeted, forcing me to retreat to my bed earlier than usual. Today's hurdle reminded me of the importance of self-care and the need to prioritize my health above all else.",0,1,0,0,0
"Today started off rough as I woke up feeling under the weather. It seems like a nasty bug decided to pay me a visit. Dragging myself to class was a struggle, as my body felt weak and my head was pounding. Concentrating on lectures felt nearly impossible. Thankfully, my understanding professors allowed me to leave early. Resting in bed, sipping on warm tea, and hoping for a speedy recovery became my main agenda for the day. Physical illness may have disrupted my plans, but I remain hopeful for a healthier tomorrow.",0,1,0,0,0
"Today was a tough day for me as I woke up feeling under the weather, battling a physical illness. Despite my body feeling weak, I pushed myself to attend classes at DLSU. It was a constant struggle to concentrate with a pounding headache and a stuffy nose. However, I persevered and managed to make it through the day, determined to not let this setback hinder my studies. Although physically drained, my determination to succeed remained unwavering.",0,1,0,0,0
"It was just another ordinary day at DLSU until an unexpected physical illness struck. As I rushed to my morning class, a sudden wave of dizziness and nausea overwhelmed me. The hustle and bustle of the university suddenly became a blur as I struggled to make sense of my surroundings. With a heavy heart, I had to make the tough decision of skipping classes and seeking medical attention, disrupting my carefully planned day. It was a stark reminder that even amidst the daily grind of being a student, our bodies could remind us of their vulnerability.",0,1,0,0,0
"Today was a tough day for me. I woke up feeling under the weather, battling a physical illness that left me weak and exhausted. Dragging myself out of bed, I struggled to focus on my classes, constantly battling a pounding headache and a persistent cough. Despite my best efforts, I couldn't shake off the discomfort that accompanied me throughout the day. It was a constant reminder that sometimes, life throws unexpected hurdles our way, making it difficult to fully embrace the day's challenges.",0,1,0,0,0
"Today started off on a rough note as I woke up feeling under the weather. Battling a physical illness, I dragged myself to class, trying my best to stay focused despite the pounding headache and constant sniffles. It was a struggle to stay engaged, but I pushed through, determined not to let sickness defeat me. As the day progressed, I longed for the comfort of my bed, hoping that rest would aid in my recovery. Physical illness may have slowed me down, but it didn't dampen my spirit to conquer the challenges that came my way.",0,1,0,0,0
"Today was a rough day for me. I woke up with a pounding headache and a sore throat, making it difficult to focus on my classes. I dragged myself through the day, constantly sniffling and coughing. It was frustrating to have my physical illness hinder my productivity and enjoyment. Despite my best efforts, I couldn't shake off the discomfort, which made me yearn for a speedy recovery.",0,1,0,0,0
"Today started off on a rough note as I woke up feeling under the weather. Battling a physical illness, I dragged myself to class, struggling to focus on the lectures. My head throbbed, making it difficult to comprehend the concepts being discussed. Even though I pushed through the day, my body constantly reminded me of its weakness. Despite the obstacles, I managed to complete my tasks, although not as efficiently as I would have liked. Hoping for a speedy recovery, I look forward to a healthier day tomorrow.",0,1,0,0,0
"Today has been a rough day for me. I woke up feeling under the weather, battling a pounding headache and a fever. Dragging myself to class was a struggle, but I didn't want to miss any important lessons. Throughout the day, I found it difficult to concentrate, constantly feeling fatigued and sneezing uncontrollably. It's frustrating when physical illness interrupts my daily routine and hampers my ability to fully engage in my studies. I can only hope that tomorrow brings better health and a more productive day.",0,1,0,0,0
"Today was a rough day for me. I woke up feeling dreadful, battling a nasty physical illness. My head was pounding, my body ached, and I could barely muster the energy to get out of bed. Dragging myself to class was a challenge, and concentrating on the lectures seemed impossible. All I wanted was to crawl back under the covers and rest. Dealing with this physical illness was a major hassle, disrupting my day and leaving me longing for a quick recovery.",0,1,0,0,0
"Today was a tough day at DLSU. I woke up with a terrible headache and a runny nose, making it difficult to concentrate in class. I struggled to take notes, constantly sneezing and sniffling. The physical illness made it hard for me to fully engage in discussions and participate in group activities. Despite my discomfort, I pushed through the day, hoping to feel better soon. As I left campus, I couldn't help but long for a good night's sleep to recover from this pesky illness.",0,1,0,0,0
"Today started off rough as I woke up feeling under the weather. Battling a physical illness, I dragged myself to class, my body feeling heavy and my mind foggy. Concentrating on lectures became a struggle, and I couldn't help but feel frustrated with my weakened state. Despite the setback, I pushed through the day, determined to not let this physical ailment dampen my spirit. With each passing hour, I reminded myself that this too shall pass, eagerly awaiting the moment when I could finally rest and recover.",0,1,0,0,0
"Today was a challenging day as I battled physical illness. Waking up with a sore throat and a pounding headache, I dragged myself to class, my body feeling weak. Concentrating on lectures became an uphill battle, and I struggled to keep up with the pace. Despite feeling drained, I pushed through the day, determined not to let my illness hinder my progress. As the day wore on, my fatigue grew, making even the simplest tasks seem overwhelming. Nevertheless, I persevered, reminding myself that this too shall pass.",0,1,0,0,0
"Today started off rough. I woke up with a pounding headache and a stuffy nose, feeling absolutely terrible. Dragging myself out of bed, I mustered the strength to attend my morning classes. The physical illness made it difficult to concentrate, and I found myself struggling to keep up with the lecture. All I wanted was to crawl back into bed and rest, but I pushed through the day, hoping to recover soon.",0,1,0,0,0
"Today started off on a rough note as I woke up with a pounding headache and a stuffy nose. Despite feeling physically ill, I dragged myself to class, trying my best to pay attention to the lecture while battling the discomfort. The constant sneezing and fatigue made it difficult to concentrate. As the day progressed, I couldn't shake off the feeling of exhaustion, but I pushed through, determined to complete my tasks. It was a challenging day, but I'm proud of myself for not letting my physical illness hinder my productivity.",0,1,0,0,0
"Today has been quite a struggle for me. I woke up with a pounding headache and a sore throat, feeling physically ill. Dragging myself out of bed, I mustered enough energy to attend my morning classes. Concentration seemed impossible as my body ached with every movement. Despite my discomfort, I managed to push through the day, longing for the moment I could crawl back into bed. Physical illness truly can be a hassle, but I am determined to rest and recover, hoping for a better day tomorrow.",0,1,0,0,0
"Today was a rough day for me as I woke up feeling incredibly sick. My head was pounding, and my body felt weak. It was a struggle to even get out of bed, but I had classes to attend. Throughout the day, I battled a constant cough and sneezing fits, making it difficult to concentrate in class. Despite feeling physically drained, I pushed through the day with determination, hoping that a good night's rest would help me recover.",0,1,0,0,0
"Today was a typical day for me at DLSU, but I couldn't escape the side effects of my medication. As I sat in class, trying to concentrate, the drowsiness hit me like a wave. I struggled to keep my eyes open, fighting to stay engaged in the lecture. Later, during lunch, I experienced a sudden bout of nausea, forcing me to skip my meal. It's frustrating to deal with these daily hassles, but I remind myself that it's a small price to pay for my health.",0,0,1,0,0
"So, I woke up this morning feeling groggy and slow, thanks to the side effects of the medication I've been taking for my allergies. As if that wasn't enough, throughout the day, I constantly struggled with a dry mouth and dizziness. It's frustrating because I'm finding it hard to concentrate on my lectures and participate in class discussions. But hey, it's just another day in the life of a student dealing with the pesky side effects of medication. Hopefully, these hassles will fade away soon, and I can focus on my studies without any hindrances.",0,0,1,0,0
"So, today started off with the annoying side effects of my medication. As soon as I woke up, I felt groggy and had a pounding headache. I struggled to focus during my morning classes, constantly battling drowsiness. To make matters worse, I experienced nausea and an upset stomach during lunch, which made it impossible to enjoy my meal. Despite these daily hassles, I managed to push through the day, relying on sheer determination and a strong cup of coffee to keep me going.",0,0,1,0,0
"So, today started off with the usual hustle and bustle of a typical day at DLSU. But as I sat in class, I couldn't help but feel the side effects of my medication kicking in. The drowsiness hit me like a ton of bricks, making it a struggle to stay focused. Despite my best efforts, I found myself dozing off, missing important parts of the lecture. It's frustrating dealing with these side effects, but I'm determined to push through and make the most out of my day.",0,0,1,0,0
"So, today started off with the usual hustle and bustle of being an undergrad at DLSU. However, the side effects of my medication decided to make their presence known. As I rushed to class, I couldn't help but feel a little drowsy and groggy. Trying to stay focused during lectures became a struggle, as I battled the foggy-headedness and occasional bouts of nausea. Despite these daily hassles, I managed to power through the day and make the most of my time on campus. Time management and a positive mindset truly became my allies amidst the side effects of my medication.",0,0,1,0,0
"So, today started off pretty rough. I woke up feeling groggy and tired due to the side effects of my medication. It's been giving me these headaches that won't seem to go away. I struggled to concentrate in class, feeling drowsy and finding it difficult to comprehend what the professor was saying. Even my friends noticed my lack of energy and enthusiasm. But hey, it's just one of those days, and I'm determined to power through it.",0,0,1,0,0
"Today has been quite a hassle-filled day for me. The side effects of my medication have really taken a toll on my energy levels. I felt drowsy and lethargic throughout the day, making it difficult to concentrate on my lectures and complete my assignments. It was frustrating to constantly battle fatigue and the urge to take a nap. Despite this setback, I managed to push through and get my work done, but I can't wait for these side effects to subside so I can regain my usual vigor and focus.",0,0,1,0,0
"Today was a rollercoaster ride. Dealing with the side effects of my medication was a hassle. It started with a pounding headache that refused to subside, making it hard to concentrate during my classes. On top of that, I battled with nausea, which made it difficult to enjoy my meals. Despite these challenges, I managed to push through the day, seeking solace in the company of understanding friends. Despite the daily hassles, I remain determined to overcome these side effects and continue my journey as a DLSU undergraduate student.",0,0,1,0,0
"So, today started off with a typical college morning rush. I popped my daily medication pill and rushed to catch the early morning shuttle to DLSU. As the day progressed, I couldn't help but notice the annoying side effects of my medication kicking in. The constant drowsiness made it hard to concentrate during lectures, and my dry mouth made it feel like I had swallowed a desert. Despite these daily hassles, I pushed through my classes, reminding myself that these side effects were just temporary inconveniences on my journey towards better health.",0,0,1,0,0
"So, today was just one of those days where the side effects of my medication decided to make an appearance. As I sat in class, trying to concentrate on the lecture, the drowsiness hit me like a ton of bricks. My eyelids felt heavy, and I struggled to keep them open. I couldn't help but yawn repeatedly, drawing strange looks from my classmates. It was a constant battle to stay awake and engaged throughout the day, but I managed to power through, determined not to let these pesky side effects ruin my academic journey.",0,0,1,0,0
"So, today was quite a rollercoaster. Woke up feeling groggy due to the side effects of my medication. Stumbled through my morning routine, trying to shake off the drowsiness. As the day progressed, I battled with a pounding headache and occasional nausea. Despite these setbacks, I soldiered on and attended my classes. It wasn't easy, but I managed to push through the day, constantly reminding myself that these side effects were temporary. Now, I'm looking forward to a restful night's sleep, hoping tomorrow will be a better day.",0,0,1,0,0
"Today was quite a challenging day for me. I had to deal with the side effects of my medication, which made me feel dizzy and nauseous throughout the day. Despite feeling under the weather, I managed to attend my classes and complete my assignments. It was tough to stay focused, but I pushed through. I am grateful for the support of my friends and the understanding of my professors. Although these side effects are a hassle, I know they are temporary, and I am determined to overcome them.",0,0,1,0,0
"Today has been quite a day for me. I woke up feeling groggy and exhausted due to the side effects of my medication. It's been a constant struggle to stay focused and alert throughout the day. Despite this setback, I managed to push through my classes and complete my assignments. It's frustrating dealing with these daily hassles, but I'm determined to keep going and not let them hold me back.",0,0,1,0,0
"Today was quite a hassle. I woke up feeling groggy and nauseous due to the side effects of my medication. It made it difficult to concentrate during class, and I struggled to stay awake. The constant drowsiness made it challenging to participate in discussions and take proper notes. Despite the inconvenience, I managed to push through the day, hoping these side effects would soon subside.",0,0,1,0,0
"Today was a challenging day as I dealt with the side effects of my medication. The drowsiness hit me hard during my morning lecture, making it difficult to stay focused. As I rushed to submit an assignment online, my hands trembled uncontrollably due to the medication's effects. Despite these hassles, I pushed through the day, relying on caffeine to combat the fatigue. It's tough dealing with these side effects, but I'm determined to manage them while pursuing my education.",0,0,1,0,0
"So, today was a rollercoaster ride of a day for me. Waking up groggy from the side effects of my medication, I stumbled through my morning routine. As I struggled to focus during lectures, the drowsiness persisted, making it a challenge to stay engaged. By the time I reached my evening class, the medication-induced dizziness kicked in, causing me to stumble while walking. Despite these daily hassles, I managed to power through the day, reminding myself that it's just a temporary inconvenience in my pursuit of a better health.",0,0,1,0,0
"Today was quite a hassle-filled day for me. I woke up feeling groggy due to the side effects of the medication I'm currently taking. It made it difficult for me to concentrate during my classes, and I had to constantly fight off drowsiness. On top of that, the medication also caused me to have a dry mouth, which was quite uncomfortable. Despite these hurdles, I managed to push through and complete my tasks for the day. I can't wait to finish this course of medication and get back to feeling like my usual self.",0,0,1,0,0
"So today was quite a hassle-filled day. I woke up feeling groggy and drowsy, thanks to the side effects of the medication I'm taking for my allergies. I stumbled through my morning routine, constantly battling a foggy mind. As I headed to class, I found myself struggling to concentrate, my head feeling heavy and my thoughts scattered. It was frustrating having to fight through this mental haze, but I pushed on, determined to make the most of my day despite the challenging side effects.",0,0,1,0,0
"So today started off with the usual rush to get ready for class. As I grabbed my medication, I couldn't help but dread the side effects that awaited me. Throughout the day, I battled the drowsiness and lack of focus caused by my medication. It was a constant struggle to stay alert during lectures and participate in discussions. Despite these daily hassles, I managed to push through and make the most of my day at DLSU.",0,0,1,0,0
"Today was a typical day at DLSU, filled with various challenges. Aside from juggling classes and extracurricular activities, I had to deal with the side effects of my medication. The drowsiness caused by it made it difficult to concentrate during lectures, and I found myself struggling to keep my eyes open. Despite this hurdle, I pushed through the day, relying on caffeine to stay awake. It wasn't easy, but I managed to get through my classes with determination and a bit of extra effort.",0,0,1,0,0
"So, today was quite a rollercoaster ride for me. As an undergraduate student from DLSU, I had my fair share of daily hassles. One of them being the side effects of my medication, which really took a toll on my day. I felt drowsy and sluggish throughout my classes, struggling to stay focused. It was frustrating as I couldn't fully engage in discussions or concentrate on my studies. However, I managed to push through with the support of my classmates and the determination to overcome these hurdles.",0,0,1,0,0
"Today was a challenging day as I grappled with the side effects of my medication. As I sat through lectures, the drowsiness kicked in, making it difficult to concentrate. I also experienced bouts of dizziness, which made navigating through crowded hallways a daunting task. Despite these hassles, I persevered, seeking solace in the support of my friends. Together, we laughed off the clumsiness and found ways to stay focused. Although the side effects may have hindered me, they didn't define my day. I powered through, determined to make the most of my undergraduate journey.",0,0,1,0,0
"So, like any typical day, I woke up groggy and lethargic due to the side effects of my medication. Dragging myself out of bed, I stumbled through the morning routine, struggling to stay focused in class. As the day progressed, the drowsiness persisted, making it difficult to concentrate on lectures and participate actively. Despite the constant battle with the medication's side effects, I managed to push through the day, eagerly anticipating a good night's rest to start afresh tomorrow.",0,0,1,0,0
